title_normalized,source_platform,source,n,n_rule_le2,n_with_rule,n_sen_entry,n_sen_known
software engineer,linkedin,scraped,3795,570,2769,111,2241
software engineer,linkedin,kaggle_asaniczka,1226,95,908,14,896
software engineer,indeed,scraped,1234,192,879,20,689
software engineer,linkedin,kaggle_arshkon,387,47,263,17,239
data engineer,linkedin,kaggle_asaniczka,360,22,261,14,243
data engineer,indeed,scraped,398,42,290,4,191
data engineer,linkedin,scraped,1152,98,805,20,568
data engineer,linkedin,kaggle_arshkon,139,12,93,1,59
devops engineer,linkedin,scraped,550,48,385,12,216
devops engineer,linkedin,kaggle_arshkon,80,1,44,0,33
devops engineer,linkedin,kaggle_asaniczka,99,7,74,2,63
devops engineer,indeed,scraped,184,23,131,2,67
java developer,linkedin,scraped,107,12,58,2,14
java developer,linkedin,kaggle_asaniczka,146,12,91,4,87
java developer,indeed,scraped,66,10,40,3,30
java developer,linkedin,kaggle_arshkon,66,7,36,5,37
full stack engineer,linkedin,scraped,374,34,234,3,105
full stack engineer,linkedin,kaggle_arshkon,61,3,33,0,10
full stack engineer,linkedin,kaggle_asaniczka,60,6,45,0,30
full stack engineer,indeed,scraped,73,5,51,0,36
site reliability engineer,linkedin,kaggle_arshkon,46,2,23,0,23
site reliability engineer,linkedin,scraped,299,34,215,1,146
site reliability engineer,linkedin,kaggle_asaniczka,85,7,55,2,59
site reliability engineer,indeed,scraped,48,4,30,0,20
systems engineer,linkedin,scraped,218,29,159,6,99
systems engineer,linkedin,kaggle_arshkon,45,7,33,0,19
systems engineer,linkedin,kaggle_asaniczka,548,28,453,1,379
systems engineer,indeed,scraped,132,15,97,0,66
machine learning engineer,linkedin,kaggle_arshkon,45,4,19,1,23
machine learning engineer,linkedin,scraped,440,48,289,3,223
machine learning engineer,linkedin,kaggle_asaniczka,69,4,43,0,37
machine learning engineer,indeed,scraped,112,16,81,0,50
system engineer,linkedin,scraped,163,10,108,0,52
system engineer,linkedin,kaggle_asaniczka,178,11,134,1,71
system engineer,indeed,scraped,20,3,18,0,7
system engineer,linkedin,kaggle_arshkon,44,7,29,0,8
salesforce developer,linkedin,scraped,48,3,32,0,43
salesforce developer,linkedin,kaggle_asaniczka,68,7,49,0,43
salesforce developer,indeed,scraped,38,3,29,1,14
salesforce developer,linkedin,kaggle_arshkon,44,2,22,0,26
embedded software engineer,linkedin,kaggle_asaniczka,144,16,122,2,88
embedded software engineer,indeed,scraped,65,11,51,0,29
embedded software engineer,linkedin,scraped,287,36,206,2,133
embedded software engineer,linkedin,kaggle_arshkon,37,1,24,1,11
automation engineer,linkedin,kaggle_arshkon,36,2,21,2,12
automation engineer,linkedin,scraped,74,19,52,2,21
automation engineer,linkedin,kaggle_asaniczka,175,16,124,1,83
automation engineer,indeed,scraped,67,24,55,0,17
cloud engineer,linkedin,scraped,230,18,152,4,88
cloud engineer,linkedin,kaggle_asaniczka,47,2,29,0,35
cloud engineer,indeed,scraped,52,8,41,0,16
cloud engineer,linkedin,kaggle_arshkon,34,3,20,0,10
software developer,linkedin,kaggle_asaniczka,200,13,142,5,119
software developer,indeed,scraped,140,30,95,12,51
software developer,linkedin,scraped,245,48,172,23,74
software developer,linkedin,kaggle_arshkon,34,3,21,3,16
software development engineer,linkedin,kaggle_arshkon,30,7,21,1,13
software development engineer,linkedin,scraped,223,20,169,3,93
software development engineer,linkedin,kaggle_asaniczka,44,4,37,0,20
software development engineer,indeed,scraped,98,14,75,1,36
test engineer,linkedin,scraped,276,47,189,11,69
test engineer,linkedin,kaggle_asaniczka,196,30,138,5,108
test engineer,indeed,scraped,52,5,37,1,21
test engineer,linkedin,kaggle_arshkon,28,3,20,1,12
frontend developer,linkedin,kaggle_asaniczka,30,2,21,0,17
frontend developer,indeed,scraped,4,0,3,0,1
frontend developer,linkedin,kaggle_arshkon,26,3,12,0,9
frontend developer,linkedin,scraped,74,3,39,0,17
java software engineer,linkedin,scraped,145,8,88,1,66
java software engineer,linkedin,kaggle_asaniczka,26,1,16,0,12
java software engineer,indeed,scraped,13,1,10,0,4
java software engineer,linkedin,kaggle_arshkon,24,2,13,0,10
product engineer,linkedin,kaggle_asaniczka,96,8,73,3,49
product engineer,indeed,scraped,58,14,33,1,22
product engineer,linkedin,scraped,68,15,47,1,16
product engineer,linkedin,kaggle_arshkon,24,10,13,1,6
full stack developer,linkedin,kaggle_arshkon,23,2,11,3,8
full stack developer,linkedin,kaggle_asaniczka,87,9,65,3,52
full stack developer,indeed,scraped,114,9,86,2,34
full stack developer,linkedin,scraped,209,18,160,6,59
