title_normalized,n,unique_to
"software development engineer, aws marketplace",5,kaggle_arshkon
devops consultant,4,kaggle_arshkon
python- data analytics - software engineer,4,kaggle_arshkon
"software engineer, data streaming",4,kaggle_arshkon
software dev. engineer,4,kaggle_arshkon
infrastructure specialist,4,kaggle_arshkon
data engineer- aws (python/ airflow/ rds),4,kaggle_arshkon
adobe developer,4,kaggle_arshkon
software quality assurance analyst,3,kaggle_arshkon
"software engineer (c#/.net), services",3,kaggle_arshkon
geographic information systems engineer,3,kaggle_arshkon
hybrid java backend developer,3,kaggle_arshkon
computer vision/ machine learning engineer,3,kaggle_arshkon
mission software engineer - fury / cca (generalist),3,kaggle_arshkon
infrastructure,3,kaggle_arshkon
software solutions architect,3,kaggle_arshkon
salesforce developer (clearance eligible),3,kaggle_arshkon
software engineer test,3,kaggle_arshkon
middleware engineer with devops,3,kaggle_arshkon
software engineer-(mainframe/ sql/ etl),3,kaggle_arshkon
python perl developer,3,kaggle_arshkon
software engineer (mobile sdk),3,kaggle_arshkon
"full stack engineer (javascript, typescript, angular, java, aws)",3,kaggle_arshkon
"software engineer, cash commerce",3,kaggle_arshkon
inside sales application engineer,3,kaggle_arshkon
"manager, devops",62,kaggle_asaniczka
automation tester,30,kaggle_asaniczka
embedded systems engineer,20,kaggle_asaniczka
applications developer,20,kaggle_asaniczka
engineer systems,19,kaggle_asaniczka
. automation engineer,18,kaggle_asaniczka
computer scientist,17,kaggle_asaniczka
. firmware engineer,12,kaggle_asaniczka
it infrastructure engineer,12,kaggle_asaniczka
"software development engineer, amazon stores",12,kaggle_asaniczka
technical systems engineer (electronic security),10,kaggle_asaniczka
application development manager,9,kaggle_asaniczka
. qa automation engineer,9,kaggle_asaniczka
enterprise technology - system engineer,8,kaggle_asaniczka
react js developer,8,kaggle_asaniczka
application engineer (multiple openings) - ihm,8,kaggle_asaniczka
. reliability engineer,8,kaggle_asaniczka
java software engineer (onsite),8,kaggle_asaniczka
it developer,8,kaggle_asaniczka
application engineer (full stack),8,kaggle_asaniczka
. product engineer,7,kaggle_asaniczka
. net developer,7,kaggle_asaniczka
model based systems engineer,7,kaggle_asaniczka
. android developer,7,kaggle_asaniczka
software engineer (e),7,kaggle_asaniczka
information technology infrastructure engineer,6,kaggle_asaniczka
systems engineer - strategics,6,kaggle_asaniczka
systems engineer -,6,kaggle_asaniczka
. infrastructure engineer,6,kaggle_asaniczka
engineer- generative ai engineering (remote-eligible),6,kaggle_asaniczka
ai/ml engineer,123,scraped
software engineer [multiple positions available],94,scraped
ai software engineer,64,scraped
applied ai engineer,42,scraped
"software engineer, platform",38,scraped
mobile apps test automation engineer,30,scraped
ai platform engineer,29,scraped
"software engineer, product",28,scraped
"software engineer, frontend",27,scraped
"software engineer, fullstack",26,scraped
agentic ai engineer,24,scraped
"vice president, full-stack engineer",23,scraped
ai developer,23,scraped
software engineer - ios,21,scraped
"software engineer, ios",20,scraped
software engineer - ctj - poly,20,scraped
ai agent engineer,19,scraped
"software engineer, ai",18,scraped
software developer in test (sdet),18,scraped
ai solutions engineer,18,scraped
forward deployed software engineer,17,scraped
software engineer - python,17,scraped
ai security engineer,17,scraped
software engineer - ai,17,scraped
mid-level software engineer,17,scraped
systems operations engineer,16,scraped
software engineer with security clearance,16,scraped
founding ai engineer,15,scraped
software engineer - infrastructure,15,scraped
front end software engineer,15,scraped
