title_normalized,n_ar,n_sc,min_n
software engineer,387.0,3795.0,387.0
data engineer,139.0,1152.0,139.0
devops engineer,80.0,550.0,80.0
java developer,66.0,107.0,66.0
full stack engineer,61.0,374.0,61.0
site reliability engineer,46.0,299.0,46.0
systems engineer,45.0,218.0,45.0
machine learning engineer,45.0,440.0,45.0
system engineer,44.0,163.0,44.0
salesforce developer,44.0,48.0,44.0
embedded software engineer,37.0,287.0,37.0
automation engineer,36.0,74.0,36.0
cloud engineer,34.0,230.0,34.0
software developer,34.0,245.0,34.0
software development engineer,30.0,223.0,30.0
test engineer,28.0,276.0,28.0
frontend developer,26.0,74.0,26.0
java software engineer,24.0,145.0,24.0
product engineer,24.0,68.0,24.0
full stack developer,23.0,209.0,23.0
