aggregator_mode,n_industries,total_arshkon,total_scraped,chi2,dof,p_value,cramers_v
all,235,4571,42510,3158.1432434601443,234,0.0,0.258996009576138
non_aggregator,227,4146,34918,2535.6904909002233,226,0.0,0.2547767335876276
