aggregator_mode,source_a,source_b,n_a,n_b,mean_a,mean_b,median_a,median_b,ks_statistic,ks_pvalue
all,kaggle_arshkon,kaggle_asaniczka,4691,18129,3305.6418674056704,3881.4461911853937,2974.0,3733.0,0.14390166148500233,8.234407414848662e-68
all,kaggle_arshkon,scraped,4691,45317,3305.6418674056704,4893.354370324602,2974.0,4842.0,0.2903220844420602,8.040997e-318
all,kaggle_asaniczka,scraped,18129,45317,3881.4461911853937,4893.354370324602,3733.0,4842.0,0.19355460239929118,0.0
non_aggregator,kaggle_arshkon,kaggle_asaniczka,4261,15186,3358.6421027927718,3804.93138416963,3030.0,3618.0,0.11461698763850509,1.567658930174776e-38
non_aggregator,kaggle_arshkon,scraped,4261,37609,3358.6421027927718,5097.232072110399,3030.0,5084.0,0.321246507897386,0.0
non_aggregator,kaggle_asaniczka,scraped,15186,37609,3804.93138416963,5097.232072110399,3618.0,5084.0,0.2516706004626888,0.0
