company_industry,kaggle_arshkon,scraped
Accounting,0.007959479015918957,0.0005441319663210952
"Accounting, Financial Services, and Business Consulting and Services",0.0,0.0007159631135803884
"Accounting, Financial Services, and IT Services and IT Consulting",0.0,0.0003150237699753709
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0.0,0.0016896729480497166
Advertising Services,0.006994693680656054,0.003866200813334097
"Advertising Services, IT Services and IT Consulting, and Software Development",0.0,0.0039521163869637435
"Agriculture, Construction, Mining Machinery Manufacturing",0.000723589001447178,0.00028638524543215534
Airlines and Aviation,0.006271104679208876,0.0028352139297783377
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",0.0,0.002462913110716536
"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",0.0,0.00028638524543215534
"Appliances, Electrical, and Electronics Manufacturing",0.012542209358417752,0.007274185233976746
"Appliances, Electrical, and Electronics Manufacturing and Semiconductor Manufacturing",0.0,0.00037230081906180194
"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",0.0,0.0004009393436050175
Armed Forces,0.000241196333815726,0.0003436622945185864
Automation Machinery Manufacturing,0.003135552339604438,0.006014090154075262
Automotive,0.00120598166907863,0.0017755885216793632
Aviation & Aerospace,0.0,0.001231456555358268
Aviation and Aerospace Component Manufacturing,0.00602990834539315,0.014977948336101724
Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,0.0,0.00045821639269144854
Banking,0.021225277375783887,0.006100005727704909
Banking and Financial Services,0.0,0.002319720488000458
"Banking, Financial Services, and IT Services and IT Consulting",0.0,0.0005441319663210952
"Banking, Financial Services, and Insurance",0.0,0.00028638524543215534
"Banking, Financial Services, and Investment Banking",0.0,0.003178876224296924
"Banking, Investment Banking, and Financial Services",0.0,0.0008305172117532505
Biotechnology,0.000241196333815726,0.0002577467208889398
Biotechnology Research,0.005547515677761698,0.0043530557305687615
Blockchain Services,0.0,0.0004868549172346641
Book and Periodical Publishing,0.000723589001447178,0.0005154934417778796
Broadcast Media Production and Distribution,0.003135552339604438,0.001231456555358268
Business Consulting and Services,0.009406657018813314,0.016238043416003208
"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",0.0,0.001174179506271837
Business Intelligence Platforms,0.000482392667631452,0.0002577467208889398
Capital Markets,0.001447178002894356,0.0006873245890371728
"Capital Markets, IT Services and IT Consulting, and Financial Services",0.0,0.0005154934417778796
Chemical Manufacturing,0.001929570670525808,0.0005441319663210952
"Chemical Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",0.0,0.0005727704908643107
Civil Engineering,0.000964785335262904,0.007904232773927487
"Civil Engineering, Public Safety, and Truck Transportation",0.0,0.0003436622945185864
Computer Games,0.00241196333815726,0.0019187811443954407
"Computer Games, Software Development, and Technology, Information and Internet",0.0,0.000801878687210035
Computer Hardware Manufacturing,0.00602990834539315,0.004839910647803425
