title_normalized,source,seniority_native,n
software engineer,scraped,mid-senior,2513
software engineer,scraped,associate,127
software engineer,kaggle_arshkon,,100
software engineer,kaggle_arshkon,director,2
software engineer,kaggle_arshkon,entry,42
software engineer,scraped,executive,4
software engineer,kaggle_arshkon,mid-senior,227
software engineer,scraped,intern,6
software engineer,scraped,entry,415
software engineer,scraped,,698
software engineer,scraped,director,32
software engineer,kaggle_arshkon,associate,16
data engineer,scraped,entry,95
data engineer,kaggle_arshkon,executive,1
data engineer,scraped,mid-senior,865
data engineer,scraped,executive,1
data engineer,kaggle_arshkon,entry,19
data engineer,scraped,associate,47
data engineer,kaggle_arshkon,,39
data engineer,scraped,intern,1
data engineer,kaggle_arshkon,mid-senior,72
data engineer,scraped,,132
data engineer,scraped,director,11
data engineer,kaggle_arshkon,associate,8
devops engineer,scraped,associate,19
devops engineer,kaggle_arshkon,,24
devops engineer,scraped,mid-senior,424
devops engineer,kaggle_arshkon,entry,6
devops engineer,scraped,executive,1
devops engineer,scraped,,54
devops engineer,kaggle_arshkon,associate,1
devops engineer,scraped,director,5
devops engineer,kaggle_arshkon,mid-senior,49
devops engineer,scraped,entry,47
java developer,scraped,mid-senior,78
java developer,kaggle_arshkon,mid-senior,20
java developer,kaggle_arshkon,entry,12
java developer,scraped,executive,1
java developer,kaggle_arshkon,,31
java developer,scraped,associate,6
java developer,scraped,,7
java developer,kaggle_arshkon,associate,3
java developer,scraped,entry,15
full stack engineer,kaggle_arshkon,entry,2
full stack engineer,scraped,executive,1
full stack engineer,scraped,mid-senior,295
full stack engineer,kaggle_arshkon,mid-senior,29
full stack engineer,scraped,associate,18
full stack engineer,kaggle_arshkon,,24
full stack engineer,scraped,entry,36
full stack engineer,scraped,,23
full stack engineer,kaggle_arshkon,associate,6
full stack engineer,scraped,director,1
site reliability engineer,scraped,mid-senior,219
site reliability engineer,kaggle_arshkon,entry,2
site reliability engineer,scraped,associate,13
site reliability engineer,kaggle_arshkon,,16
site reliability engineer,scraped,entry,6
