aggregator_mode,source_a,source_b,n_states,total_a,total_b,chi2,dof,p_value,cramers_v
all,kaggle_arshkon,kaggle_asaniczka,50,3516,16598,375.49520107166495,49,7.05692465661551e-52,0.1366321721117839
all,kaggle_arshkon,scraped,43,3505,39532,3030.2006666919497,42,0.0,0.26534731633716024
all,kaggle_asaniczka,scraped,50,16598,39532,6752.593610808536,49,0.0,0.34684687473421233
non_aggregator,kaggle_arshkon,kaggle_asaniczka,50,3152,14129,346.74561349874574,49,1.9216413362328613e-46,0.14165145922519687
non_aggregator,kaggle_arshkon,scraped,43,3142,32166,2559.470156417912,42,0.0,0.26923931444074234
non_aggregator,kaggle_asaniczka,scraped,50,14129,32166,5403.167552186466,49,0.0,0.3416309222749972
