company_name_canonical,n_a,n_b,min_n,source_a,source_b
Capital One,52.0,34.0,34.0,kaggle_arshkon,kaggle_asaniczka
Amazon,31.0,142.0,31.0,kaggle_arshkon,kaggle_asaniczka
Compunnel Inc.,26.0,22.0,22.0,kaggle_arshkon,kaggle_asaniczka
Akkodis,24.0,19.0,19.0,kaggle_arshkon,kaggle_asaniczka
Wells Fargo,16.0,21.0,16.0,kaggle_arshkon,kaggle_asaniczka
Discover Financial Services,16.0,80.0,16.0,kaggle_arshkon,kaggle_asaniczka
Open Systems Technologies,31.0,16.0,16.0,kaggle_arshkon,kaggle_asaniczka
Google,15.0,18.0,15.0,kaggle_arshkon,kaggle_asaniczka
"BAE Systems, Inc.",14.0,38.0,14.0,kaggle_arshkon,kaggle_asaniczka
Synechron,15.0,13.0,13.0,kaggle_arshkon,kaggle_asaniczka
Photon,13.0,37.0,13.0,kaggle_arshkon,kaggle_asaniczka
Leidos,13.0,55.0,13.0,kaggle_arshkon,kaggle_asaniczka
Palo Alto Networks,13.0,86.0,13.0,kaggle_arshkon,kaggle_asaniczka
Diverse Lynx,13.0,79.0,13.0,kaggle_arshkon,kaggle_asaniczka
Amazon Web Services (AWS),12.0,97.0,12.0,kaggle_arshkon,kaggle_asaniczka
Northrop Grumman,12.0,292.0,12.0,kaggle_arshkon,kaggle_asaniczka
Selby Jennings,11.0,22.0,11.0,kaggle_arshkon,kaggle_asaniczka
Oracle,19.0,11.0,11.0,kaggle_arshkon,kaggle_asaniczka
Honeywell,11.0,33.0,11.0,kaggle_arshkon,kaggle_asaniczka
CACI International Inc,10.0,42.0,10.0,kaggle_arshkon,kaggle_asaniczka
SAIC,10.0,36.0,10.0,kaggle_arshkon,kaggle_asaniczka
Adobe,9.0,9.0,9.0,kaggle_arshkon,kaggle_asaniczka
Piper Companies,16.0,8.0,8.0,kaggle_arshkon,kaggle_asaniczka
TekWissen ®,8.0,15.0,8.0,kaggle_arshkon,kaggle_asaniczka
CGI,7.0,15.0,7.0,kaggle_arshkon,kaggle_asaniczka
Ledgent Technology,9.0,7.0,7.0,kaggle_arshkon,kaggle_asaniczka
Cloudflare,7.0,19.0,7.0,kaggle_arshkon,kaggle_asaniczka
BLUE ORIGIN,7.0,99.0,7.0,kaggle_arshkon,kaggle_asaniczka
HTC Global Services,7.0,14.0,7.0,kaggle_arshkon,kaggle_asaniczka
Mastech Digital,7.0,9.0,7.0,kaggle_arshkon,kaggle_asaniczka
"V-Soft Consulting Group, Inc.",6.0,12.0,6.0,kaggle_arshkon,kaggle_asaniczka
Eliassen Group,12.0,6.0,6.0,kaggle_arshkon,kaggle_asaniczka
UST,6.0,25.0,6.0,kaggle_arshkon,kaggle_asaniczka
Goldman Sachs,6.0,29.0,6.0,kaggle_arshkon,kaggle_asaniczka
FIS,6.0,29.0,6.0,kaggle_arshkon,kaggle_asaniczka
Ampstek,6.0,10.0,6.0,kaggle_arshkon,kaggle_asaniczka
Visa,5.0,12.0,5.0,kaggle_arshkon,kaggle_asaniczka
Ascendion,8.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
The Walt Disney Company,5.0,46.0,5.0,kaggle_arshkon,kaggle_asaniczka
Confidential,5.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
General Dynamics Mission Systems,5.0,13.0,5.0,kaggle_arshkon,kaggle_asaniczka
Dexian,7.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
EPITEC,11.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
Planet Technology,6.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
Russell Tobin,5.0,7.0,5.0,kaggle_arshkon,kaggle_asaniczka
Brooksource,5.0,24.0,5.0,kaggle_arshkon,kaggle_asaniczka
Tech Mahindra,5.0,5.0,5.0,kaggle_arshkon,kaggle_asaniczka
Leonardo DRS,5.0,14.0,5.0,kaggle_arshkon,kaggle_asaniczka
Amtex Systems Inc.,5.0,8.0,5.0,kaggle_arshkon,kaggle_asaniczka
Infosys,5.0,37.0,5.0,kaggle_arshkon,kaggle_asaniczka
Capital One,52.0,244.0,52.0,kaggle_arshkon,scraped
Amazon,31.0,364.0,31.0,kaggle_arshkon,scraped
Fidelity Investments,29.0,54.0,29.0,kaggle_arshkon,scraped
Compunnel Inc.,26.0,28.0,26.0,kaggle_arshkon,scraped
ICE,26.0,52.0,26.0,kaggle_arshkon,scraped
Akkodis,24.0,73.0,24.0,kaggle_arshkon,scraped
Deloitte,22.0,62.0,22.0,kaggle_arshkon,scraped
Oracle,19.0,47.0,19.0,kaggle_arshkon,scraped
Microsoft,19.0,413.0,19.0,kaggle_arshkon,scraped
Open Systems Technologies,31.0,18.0,18.0,kaggle_arshkon,scraped
Piper Companies,16.0,110.0,16.0,kaggle_arshkon,scraped
Wells Fargo,16.0,327.0,16.0,kaggle_arshkon,scraped
Talent Groups,15.0,25.0,15.0,kaggle_arshkon,scraped
Google,15.0,820.0,15.0,kaggle_arshkon,scraped
Synechron,15.0,64.0,15.0,kaggle_arshkon,scraped
TikTok,14.0,161.0,14.0,kaggle_arshkon,scraped
Ford Motor Company,14.0,52.0,14.0,kaggle_arshkon,scraped
"BAE Systems, Inc.",14.0,140.0,14.0,kaggle_arshkon,scraped
Centraprise,14.0,22.0,14.0,kaggle_arshkon,scraped
General Motors,13.0,188.0,13.0,kaggle_arshkon,scraped
Palo Alto Networks,13.0,52.0,13.0,kaggle_arshkon,scraped
Leidos,13.0,248.0,13.0,kaggle_arshkon,scraped
Eliassen Group,12.0,37.0,12.0,kaggle_arshkon,scraped
Northrop Grumman,12.0,111.0,12.0,kaggle_arshkon,scraped
Amazon Web Services (AWS),12.0,376.0,12.0,kaggle_arshkon,scraped
myGwork - LGBTQ+ Business Community,12.0,128.0,12.0,kaggle_arshkon,scraped
JPMorgan Chase & Co.,12.0,680.0,12.0,kaggle_arshkon,scraped
Honeywell,11.0,50.0,11.0,kaggle_arshkon,scraped
EPITEC,11.0,37.0,11.0,kaggle_arshkon,scraped
Selby Jennings,11.0,19.0,11.0,kaggle_arshkon,scraped
hackajob,10.0,263.0,10.0,kaggle_arshkon,scraped
ServiceNow,10.0,19.0,10.0,kaggle_arshkon,scraped
CACI International Inc,10.0,91.0,10.0,kaggle_arshkon,scraped
SAIC,10.0,30.0,10.0,kaggle_arshkon,scraped
NLB Services,9.0,29.0,9.0,kaggle_arshkon,scraped
Adobe,9.0,138.0,9.0,kaggle_arshkon,scraped
Ledgent Technology,9.0,21.0,9.0,kaggle_arshkon,scraped
Booz Allen Hamilton,9.0,338.0,9.0,kaggle_arshkon,scraped
Ascendion,8.0,12.0,8.0,kaggle_arshkon,scraped
"American Unit, Inc",8.0,8.0,8.0,kaggle_arshkon,scraped
Quantum World Technologies Inc.,8.0,10.0,8.0,kaggle_arshkon,scraped
Rose International,8.0,12.0,8.0,kaggle_arshkon,scraped
AT&T,8.0,25.0,8.0,kaggle_arshkon,scraped
Procore Technologies,8.0,22.0,8.0,kaggle_arshkon,scraped
BCforward,8.0,32.0,8.0,kaggle_arshkon,scraped
Boeing,8.0,93.0,8.0,kaggle_arshkon,scraped
BLUE ORIGIN,7.0,91.0,7.0,kaggle_arshkon,scraped
"Pyramid Consulting, Inc",7.0,21.0,7.0,kaggle_arshkon,scraped
Franklin Fitch,7.0,18.0,7.0,kaggle_arshkon,scraped
HTC Global Services,7.0,24.0,7.0,kaggle_arshkon,scraped
Walmart,170.0,245.0,170.0,kaggle_asaniczka,scraped
Amazon,142.0,364.0,142.0,kaggle_asaniczka,scraped
Raytheon,143.0,126.0,126.0,kaggle_asaniczka,scraped
Northrop Grumman,292.0,111.0,111.0,kaggle_asaniczka,scraped
Amazon Web Services (AWS),97.0,376.0,97.0,kaggle_asaniczka,scraped
BLUE ORIGIN,99.0,91.0,91.0,kaggle_asaniczka,scraped
Lockheed Martin,86.0,174.0,86.0,kaggle_asaniczka,scraped
L3Harris Technologies,64.0,60.0,60.0,kaggle_asaniczka,scraped
NVIDIA,55.0,195.0,55.0,kaggle_asaniczka,scraped
Leidos,55.0,248.0,55.0,kaggle_asaniczka,scraped
Collins Aerospace,68.0,55.0,55.0,kaggle_asaniczka,scraped
Palo Alto Networks,86.0,52.0,52.0,kaggle_asaniczka,scraped
Anduril Industries,48.0,271.0,48.0,kaggle_asaniczka,scraped
The Walt Disney Company,46.0,69.0,46.0,kaggle_asaniczka,scraped
CACI International Inc,42.0,91.0,42.0,kaggle_asaniczka,scraped
ByteDance,41.0,124.0,41.0,kaggle_asaniczka,scraped
SpaceX,40.0,156.0,40.0,kaggle_asaniczka,scraped
"BAE Systems, Inc.",38.0,140.0,38.0,kaggle_asaniczka,scraped
Snowflake,38.0,41.0,38.0,kaggle_asaniczka,scraped
ManTech,38.0,44.0,38.0,kaggle_asaniczka,scraped
Infosys,37.0,50.0,37.0,kaggle_asaniczka,scraped
"Mission Technologies, a division of HII",64.0,35.0,35.0,kaggle_asaniczka,scraped
Capital One,34.0,244.0,34.0,kaggle_asaniczka,scraped
Rivian,34.0,36.0,34.0,kaggle_asaniczka,scraped
Honeywell,33.0,50.0,33.0,kaggle_asaniczka,scraped
"Syms Strategic Group, LLC (SSG)",118.0,32.0,32.0,kaggle_asaniczka,scraped
SAIC,36.0,30.0,30.0,kaggle_asaniczka,scraped
Goldman Sachs,29.0,49.0,29.0,kaggle_asaniczka,scraped
Abbott,54.0,28.0,28.0,kaggle_asaniczka,scraped
Lorven Technologies Inc.,28.0,24.0,24.0,kaggle_asaniczka,scraped
Brooksource,24.0,48.0,24.0,kaggle_asaniczka,scraped
Medtronic,26.0,24.0,24.0,kaggle_asaniczka,scraped
Intellectt Inc,86.0,23.0,23.0,kaggle_asaniczka,scraped
Stripe,23.0,25.0,23.0,kaggle_asaniczka,scraped
AMD,23.0,88.0,23.0,kaggle_asaniczka,scraped
KPMG US,63.0,23.0,23.0,kaggle_asaniczka,scraped
Captivation,41.0,23.0,23.0,kaggle_asaniczka,scraped
BioSpace,22.0,37.0,22.0,kaggle_asaniczka,scraped
Tesla,75.0,22.0,22.0,kaggle_asaniczka,scraped
EVONA,22.0,23.0,22.0,kaggle_asaniczka,scraped
Compunnel Inc.,22.0,28.0,22.0,kaggle_asaniczka,scraped
KLA,24.0,22.0,22.0,kaggle_asaniczka,scraped
CVS Health,21.0,59.0,21.0,kaggle_asaniczka,scraped
Wells Fargo,21.0,327.0,21.0,kaggle_asaniczka,scraped
Akkodis,19.0,73.0,19.0,kaggle_asaniczka,scraped
Cloudflare,19.0,38.0,19.0,kaggle_asaniczka,scraped
Selby Jennings,22.0,19.0,19.0,kaggle_asaniczka,scraped
Vanguard,19.0,18.0,18.0,kaggle_asaniczka,scraped
UST,25.0,18.0,18.0,kaggle_asaniczka,scraped
Google,18.0,820.0,18.0,kaggle_asaniczka,scraped
