aggregator_mode,source_a,source_b,n_companies_a,n_companies_b,jaccard,intersection,union,top50_jaccard,top50_intersection
all,kaggle_arshkon,kaggle_asaniczka,2298,4948,0.11408364083640836,742,6504,0.13636363636363635,12
all,kaggle_arshkon,scraped,2298,8477,0.10671733771569433,1039,9736,0.28205128205128205,22
all,kaggle_asaniczka,scraped,4948,8477,0.13415561375348484,1588,11837,0.16279069767441862,14
non_aggregator,kaggle_arshkon,kaggle_asaniczka,2235,4814,0.10798491040553285,687,6362,0.0989010989010989,9
non_aggregator,kaggle_arshkon,scraped,2235,7740,0.10306314276235762,932,9043,0.21951219512195122,18
non_aggregator,kaggle_asaniczka,scraped,4814,7740,0.13170467862616064,1461,11093,0.16279069767441862,14
