state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped
AK,0.00031725888324873094,0.0003538320005661312,0.0
AL,0.004124365482233503,0.010898025617436842,0.0
AR,0.0038071065989847717,0.00827966881324747,0.0
AZ,0.02284263959390863,0.020593022432948836,0.020456382515699808
CA,0.16560913705583757,0.16764560186823296,0.2505129639992539
CO,0.02284263959390863,0.029084990446535983,0.027979854504756575
CT,0.006979695431472081,0.012454886419927818,0.002860162904930672
DC,0.007931472081218274,0.011888755219022008,0.0123422247093204
DE,0.004441624365482234,0.0033260208053216334,0.005906858173226388
FL,0.03616751269035533,0.045644328073030926,0.02030093887956227
GA,0.044098984771573604,0.031491048050385675,0.03289187340670273
HI,0.0,0.001486094402377751,0.0
IA,0.0038071065989847717,0.011534923218455877,0.0
ID,0.004124365482233503,0.0021937584035100132,0.0
IL,0.04568527918781726,0.03679852805887764,0.0340421563141205
IN,0.008883248730964468,0.009978062415964899,0.0002487098178200584
KS,0.005076142131979695,0.005307480008491968,0.0005595970900951316
KY,0.004124365482233503,0.003184488005095181,0.0
LA,0.0009517766497461929,0.0036798528058877645,0.0
MA,0.030139593908629442,0.04238907366782252,0.05117204501647703
MD,0.021256345177664976,0.05944377609511004,0.045513896661070696
ME,0.0034898477157360407,0.002335291203736466,0.0
MI,0.024746192893401017,0.027032764843252424,0.01974134178946714
MN,0.01713197969543147,0.014365579222984927,0.016725735248398932
MO,0.007296954314720812,0.013587148821739439,0.00021762109059255113
MS,0.0015862944162436548,0.002406057603849692,0.0
MT,0.0009517766497461929,0.0009199632014719411,0.0
NC,0.03965736040609137,0.028731158445969854,0.04243611266554747
ND,0.0009517766497461929,0.0003538320005661312,0.0
NE,0.002220812182741117,0.00396291840634067,0.0
NH,0.005076142131979695,0.004316750406906801,0.005658148355406329
NJ,0.04187817258883249,0.036444696058311514,0.035783125038860907
NM,0.0034898477157360407,0.0037506192060009907,0.0
NV,0.006027918781725888,0.005519779208831647,0.0
NY,0.0717005076142132,0.046351992074163184,0.07753528570540322
OH,0.0266497461928934,0.02802349444483759,0.012653111981595473
OK,0.002220812182741117,0.005449012808718421,0.0
OR,0.0038071065989847717,0.006368976010190362,0.005285083628676242
PA,0.03267766497461929,0.03170334725072536,0.027264813778523907
RI,0.0031725888324873096,0.0038921520062274433,0.001523347634147858
SC,0.0025380710659898475,0.006935107211096171,0.0005906858173226388
SD,0.0,0.0009199632014719411,0.0
TN,0.006979695431472081,0.011039558417663294,0.00634210035441149
TX,0.12024111675126904,0.07458778571934045,0.1085618354784555
UT,0.005393401015228426,0.01394098082230557,0.0
VA,0.05932741116751269,0.05456089448729743,0.05906858173226388
VT,0.0,0.0005661312009058099,0.0
WA,0.05298223350253807,0.041681409666690254,0.07545234098116023
WI,0.012690355329949238,0.011322624018116198,0.0002487098178200584
WV,0.0019035532994923859,0.0011322624018116198,0.0001243549089100292
WY,0.0,0.00014153280022645247,0.0
