filter,source,seniority_final,n,share
all,kaggle_arshkon,director,17,0.007647323436797121
all,kaggle_arshkon,entry,177,0.0796221322537112
all,kaggle_arshkon,mid-senior,2014,0.905982905982906
all,kaggle_arshkon,associate,15,0.006747638326585695
all,kaggle_asaniczka,entry,238,0.019981529678448493
all,kaggle_asaniczka,mid-senior,11560,0.9705314415246411
all,kaggle_asaniczka,associate,39,0.003274284275039879
all,kaggle_asaniczka,director,74,0.00621274452187054
all,scraped,entry,1650,0.07569154548373778
all,scraped,mid-senior,19703,0.9038488004036882
all,scraped,director,325,0.014908940777099868
all,scraped,associate,121,0.005550713335474105
non_aggregator,kaggle_arshkon,director,16,0.0078010726474890294
non_aggregator,kaggle_arshkon,mid-senior,1855,0.9044368600682594
non_aggregator,kaggle_arshkon,entry,166,0.08093612871769869
non_aggregator,kaggle_arshkon,associate,14,0.006825938566552901
non_aggregator,kaggle_asaniczka,entry,216,0.022481265611990008
non_aggregator,kaggle_asaniczka,mid-senior,9298,0.9677352206494588
non_aggregator,kaggle_asaniczka,director,56,0.005828476269775187
non_aggregator,kaggle_asaniczka,associate,38,0.00395503746877602
non_aggregator,scraped,entry,1413,0.0745253164556962
non_aggregator,scraped,director,311,0.01640295358649789
non_aggregator,scraped,mid-senior,17125,0.9032172995780591
non_aggregator,scraped,associate,111,0.005854430379746835
aggregator_only,kaggle_arshkon,director,1,0.005813953488372093
aggregator_only,kaggle_arshkon,mid-senior,159,0.9244186046511628
aggregator_only,kaggle_arshkon,entry,11,0.06395348837209303
aggregator_only,kaggle_arshkon,associate,1,0.005813953488372093
aggregator_only,kaggle_asaniczka,entry,22,0.009552757273122015
aggregator_only,kaggle_asaniczka,associate,1,0.0004342162396873643
aggregator_only,kaggle_asaniczka,director,18,0.007815892314372557
aggregator_only,kaggle_asaniczka,mid-senior,2262,0.9821971341728181
aggregator_only,scraped,director,14,0.004931313842902431
aggregator_only,scraped,mid-senior,2578,0.9080662205001762
aggregator_only,scraped,associate,10,0.003522367030644593
aggregator_only,scraped,entry,237,0.08348009862627685
