title_normalized,arshkon_n,scraped_total,scraped_entry,scraped_entry_pct
software engineer,52,3236,560.0,17.3
data engineer,28,1028,133.0,12.9
developer,23,87,9.0,10.3
systems engineer,19,172,18.0,10.5
java developer,18,116,21.0,18.1
automation engineer,16,47,5.0,10.6
software developer,12,202,46.0,22.8
application engineer,10,99,19.0,19.2
test engineer,9,217,61.0,28.1
devops engineer,9,496,59.0,11.9
software development engineer,8,198,22.0,11.1
.net developer,8,13,1.0,7.7
product engineer,8,45,9.0,20.0
reliability engineer,7,83,7.0,8.4
embedded software engineer,7,250,30.0,12.0
full stack developer,6,206,24.0,11.7
sales application engineer,6,5,1.0,20.0
quality assurance engineer,6,114,18.0,15.8
cloud engineer,6,208,20.0,9.6
devsecops engineer,5,74,7.0,9.5
infrastructure engineer,5,40,2.0,5.0
site reliability engineer,5,249,14.0,5.6
front end developer,5,18,4.0,22.2
infrastructure engineer (network operations),5,,,
