source,n_with_yoe,mean_yoe,median_yoe,p25,p75,yoe_le1,pct_le1,yoe_le2,pct_le2,yoe_le3,pct_le3
kaggle_arshkon,3040,5.2,5.0,3.0,7.0,112.0,3.68,456.0,15.0,936.0,30.79
scraped,24209,4.99,5.0,3.0,6.0,1085.0,4.48,4022.0,16.61,8140.0,33.62
