title_normalized,n,native_only,explicit_signal,explicit_pct
software engineer,52,51.0,1.0,1.9
data engineer,28,28.0,0.0,0.0
developer,23,21.0,2.0,8.7
systems engineer,19,19.0,0.0,0.0
java developer,18,17.0,1.0,5.6
automation engineer,16,15.0,1.0,6.3
software developer,12,12.0,0.0,0.0
application engineer,10,10.0,0.0,0.0
devops engineer,9,9.0,0.0,0.0
test engineer,9,8.0,1.0,11.1
.net developer,8,8.0,0.0,0.0
product engineer,8,8.0,0.0,0.0
software development engineer,8,8.0,0.0,0.0
reliability engineer,7,7.0,0.0,0.0
embedded software engineer,7,7.0,0.0,0.0
full stack developer,6,5.0,1.0,16.7
sales application engineer,6,6.0,0.0,0.0
cloud engineer,6,6.0,0.0,0.0
quality assurance engineer,6,6.0,0.0,0.0
infrastructure engineer,5,5.0,0.0,0.0
front end developer,5,5.0,0.0,0.0
devsecops engineer,5,5.0,0.0,0.0
infrastructure engineer (network operations),5,5.0,0.0,0.0
site reliability engineer,5,5.0,0.0,0.0
hardware/software systems engineer (nasa hhpc- johnson space center),4,4.0,0.0,0.0
