source,yoe_int,n,pct
kaggle_arshkon,1,112,3.78
kaggle_arshkon,2,344,11.62
kaggle_arshkon,3,480,16.21
kaggle_arshkon,4,300,10.13
kaggle_arshkon,5,805,27.19
kaggle_arshkon,6,193,6.52
kaggle_arshkon,7,191,6.45
kaggle_arshkon,8,277,9.35
kaggle_arshkon,9,38,1.28
kaggle_arshkon,10,221,7.46
scraped,1,1085,4.59
scraped,2,2937,12.44
scraped,3,4118,17.44
scraped,4,2220,9.4
scraped,5,6635,28.1
scraped,6,1534,6.5
scraped,7,1492,6.32
scraped,8,2048,8.67
scraped,9,120,0.51
scraped,10,1425,6.03
