source,seniority_final_source,n,pct,entry_n,entry_within_pct
kaggle_arshkon,native_backfill,1991,39.67,729.0,36.61
kaggle_arshkon,title_keyword,1890,37.66,100.0,5.29
kaggle_arshkon,unknown,984,19.61,0.0,0.0
kaggle_arshkon,title_prior,59,1.18,0.0,0.0
kaggle_arshkon,weak_title_level,54,1.08,14.0,25.93
kaggle_arshkon,description_explicit,30,0.6,5.0,16.67
kaggle_arshkon,weak_title_associate,11,0.22,0.0,0.0
scraped,title_keyword,16027,45.71,894.0,5.58
scraped,native_backfill,15870,45.26,3695.0,23.28
scraped,unknown,2254,6.43,0.0,0.0
scraped,weak_title_level,653,1.86,51.0,7.81
scraped,title_prior,121,0.35,0.0,0.0
scraped,description_explicit,93,0.27,16.0,17.2
scraped,weak_title_associate,41,0.12,0.0,0.0
scraped,title_manager,3,0.01,0.0,0.0
