source,total,unknown_n,known_n,entry_n,known_entry_rate,entry_pct_unk_zero,entry_pct_unk_same,entry_pct_unk_all
kaggle_arshkon,5019,984.0,4035.0,848.0,21.02,16.9,21.02,36.5
scraped,35062,2254.0,32808.0,4656.0,14.19,13.28,14.19,19.71
