source,seniority_group,n,has_yoe,mean_yoe,median_yoe,yoe_le2,pct_le2
kaggle_arshkon,associate,241,144.0,3.01,3.0,63.0,43.75
kaggle_arshkon,director,22,19.0,7.84,6.0,2.0,10.53
kaggle_arshkon,entry,848,488.0,3.98,3.0,159.0,32.58
kaggle_arshkon,mid-senior,2924,1946.0,5.67,5.0,159.0,8.17
kaggle_arshkon,unknown,984,443.0,5.04,5.0,73.0,16.48
scraped,associate,996,699.0,3.52,3.0,245.0,35.05
scraped,director,351,274.0,6.77,6.5,36.0,13.14
scraped,entry,4656,1595.0,2.19,2.0,1310.0,82.13
scraped,mid-senior,26805,19955.0,5.32,5.0,1958.0,9.81
scraped,unknown,2254,1686.0,4.07,3.5,473.0,28.05
