source,mean_len,median_len,mean_yoe,n
kaggle_arshkon,3305.6418674056704,2974.0,5.221916867055994,4691
kaggle_asaniczka,3881.4461911853937,3733.0,5.797880629577684,18129
scraped,4912.017049485091,4862.0,5.047786519705594,40881
