t,kaggle_arshkon,scraped,delta
android developer,0.1,0.1417910447761194,0.04179104477611939
application engineer,0.5,0.20634920634920634,-0.29365079365079366
cloud engineer,0.21428571428571427,0.08979591836734693,-0.12448979591836734
data engineer,0.20869565217391303,0.12740989103101424,-0.08128576114289879
developer,0.696969696969697,0.08421052631578947,-0.6127591706539075
devops engineer,0.14285714285714285,0.1323283082077052,-0.010528834649437657
embedded software engineer,0.22580645161290322,0.15,-0.07580645161290323
full stack developer,0.35294117647058826,0.14035087719298245,-0.2125902992776058
full stack engineer,0.05128205128205128,0.112565445026178,0.061283393744126724
java developer,0.391304347826087,0.21511627906976744,-0.17618806875631954
java software engineer,0.1875,0.09774436090225563,-0.08975563909774437
machine learning engineer,0.06060606060606061,0.10290237467018469,0.04229631406412408
quality assurance engineer,0.35294117647058826,0.14814814814814814,-0.20479302832244012
site reliability engineer,0.14285714285714285,0.06593406593406594,-0.07692307692307691
software developer,0.375,0.2869198312236287,-0.08808016877637131
software development engineer,0.27586206896551724,0.15137614678899083,-0.1244859221765264
software engineer,0.16455696202531644,0.1568804576934658,-0.007676504331850631
system engineer,0.07142857142857142,0.05844155844155844,-0.012987012987012984
systems engineer,0.3958333333333333,0.14795918367346939,-0.24787414965986393
test engineer,0.37037037037037035,0.2789115646258503,-0.09145880574452003
