a,b,n_states_compared,chi2,dof,p,cramer_v
kaggle_arshkon,kaggle_asaniczka,45,367.3467907153007,44,1.3203079737110542e-52,0.13533681902177552
kaggle_arshkon,scraped,30,1188.863362781968,29,8.678991188254446e-232,0.17468087182258485
kaggle_asaniczka,scraped,45,6133.664557225437,44,0.0,0.3428825866867039
