t,source,mean_yoe,median_yoe,n_yoe
embedded software engineer,kaggle_arshkon,6.153846153846154,5.0,26
software engineer,kaggle_arshkon,4.831578947368421,5.0,285
android developer,kaggle_arshkon,4.909090909090909,5.0,11
software development engineer,kaggle_arshkon,4.217391304347826,4.0,23
java software engineer,kaggle_arshkon,5.4375,5.0,16
application engineer,kaggle_arshkon,3.066666666666667,2.0,15
machine learning engineer,scraped,4.580419580419581,4.0,286
java developer,scraped,5.718446601941747,5.0,103
data engineer,kaggle_arshkon,4.7227722772277225,4.0,101
software developer,scraped,4.266666666666667,4.0,180
cloud engineer,kaggle_arshkon,4.809523809523809,5.0,21
full stack engineer,kaggle_arshkon,4.828571428571428,4.0,35
quality assurance engineer,kaggle_arshkon,4.285714285714286,5.0,14
devops engineer,scraped,5.220140515222482,5.0,427
site reliability engineer,scraped,5.0212765957446805,5.0,235
site reliability engineer,kaggle_arshkon,5.458333333333333,5.0,24
devops engineer,kaggle_arshkon,5.708333333333333,5.0,48
full stack engineer,scraped,5.253012048192771,5.0,249
cloud engineer,scraped,5.327683615819209,5.0,177
quality assurance engineer,scraped,4.103092783505154,3.0,97
java developer,kaggle_arshkon,5.795454545454546,5.0,44
machine learning engineer,kaggle_arshkon,4.5,5.0,20
software engineer,scraped,4.99858407079646,5.0,2825
software development engineer,scraped,4.866666666666666,5.0,180
application engineer,scraped,4.3924050632911396,3.0,79
android developer,scraped,5.620253164556962,5.0,79
embedded software engineer,scraped,5.211711711711712,5.0,222
java software engineer,scraped,6.482352941176471,6.0,85
software developer,kaggle_arshkon,5.173913043478261,4.0,23
data engineer,scraped,5.188700564971751,5.0,885
systems engineer,kaggle_arshkon,4.641025641025641,5.0,39
developer,kaggle_arshkon,6.09375,6.5,32
test engineer,scraped,4.07981220657277,3.0,213
system engineer,scraped,5.972477064220183,5.0,109
full stack developer,scraped,5.482587064676617,5.0,201
full stack developer,kaggle_arshkon,4.363636363636363,5.0,11
system engineer,kaggle_arshkon,5.03030303030303,5.0,33
test engineer,kaggle_arshkon,4.615384615384615,5.0,26
systems engineer,scraped,6.029585798816568,5.0,169
developer,scraped,6.013333333333334,5.0,75
