source,n,mean,median,sd,p10,p90
kaggle_arshkon,4691,3305.6418674056704,2974.0,2142.4074307433834,816.0,6218.0
kaggle_asaniczka,18129,3881.4461911853937,3733.0,2078.456449724579,1255.0,6580.0
scraped,40881,4912.017049485091,4862.0,2343.410285894665,1839.0,7921.0
