source,seniority_final,mean_len,median_len,mean_yoe,median_yoe,n
kaggle_arshkon,associate,4297.466666666666,3764.0,2.909090909090909,2.0,15
kaggle_arshkon,director,5385.2307692307695,5551.0,6.923076923076923,5.0,13
kaggle_arshkon,entry,3508.1714285714284,3305.0,2.046153846153846,2.0,175
kaggle_arshkon,mid-senior,3719.720445736434,3486.0,6.0479942693409745,5.0,2064
kaggle_arshkon,unknown,2921.148102310231,2497.5,4.560308555399719,4.0,2424
kaggle_asaniczka,associate,3736.5833333333335,4155.0,3.5,2.5,24
kaggle_asaniczka,director,4888.369565217391,5089.0,8.445945945945946,8.0,92
kaggle_asaniczka,entry,3291.348039215686,3200.0,2.58,2.0,204
kaggle_asaniczka,mid-senior,4198.377559950989,4099.5,6.183265067290813,5.0,11426
kaggle_asaniczka,unknown,3319.008773304089,3023.0,5.034154671871188,5.0,6383
