state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped,total
CA,562.0,2589.0,8056.0,11207.0
TX,430.0,1218.0,4245.0,5893.0
NY,235.0,770.0,2681.0,3686.0
WA,179.0,627.0,2502.0,3308.0
VA,215.0,1007.0,2067.0,3289.0
MA,115.0,675.0,1733.0,2523.0
MD,74.0,958.0,1459.0,2491.0
NC,140.0,480.0,1853.0,2473.0
NJ,148.0,594.0,1409.0,2151.0
IL,156.0,631.0,1225.0,2012.0
GA,150.0,532.0,1255.0,1937.0
PA,126.0,563.0,1032.0,1721.0
FL,135.0,777.0,753.0,1665.0
CO,81.0,497.0,989.0,1567.0
AZ,85.0,341.0,837.0,1263.0
MI,85.0,431.0,697.0,1213.0
OH,104.0,472.0,553.0,1129.0
MN,59.0,229.0,690.0,978.0
DC,30.0,194.0,438.0,662.0
TN,23.0,173.0,252.0,448.0
CT,27.0,235.0,100.0,362.0
DE,15.0,101.0,236.0,352.0
NH,17.0,101.0,228.0,346.0
OR,12.0,114.0,176.0,302.0
MO,26.0,235.0,10.0,271.0
UT,17.0,252.0,0.0,269.0
WI,45.0,209.0,7.0,261.0
IN,31.0,189.0,9.0,229.0
AL,17.0,191.0,0.0,208.0
IA,15.0,175.0,0.0,190.0
RI,10.0,73.0,80.0,163.0
SC,10.0,118.0,28.0,156.0
AR,13.0,129.0,0.0,142.0
KS,17.0,80.0,20.0,117.0
NV,19.0,87.0,0.0,106.0
OK,10.0,93.0,0.0,103.0
NE,11.0,71.0,0.0,82.0
NM,11.0,62.0,0.0,73.0
KY,14.0,57.0,0.0,71.0
LA,4.0,56.0,0.0,60.0
ME,11.0,43.0,0.0,54.0
ID,13.0,32.0,0.0,45.0
MS,6.0,37.0,0.0,43.0
HI,0.0,32.0,0.0,32.0
WV,6.0,17.0,4.0,27.0
MT,3.0,13.0,0.0,16.0
SD,0.0,14.0,0.0,14.0
VT,0.0,12.0,0.0,12.0
AK,1.0,7.0,0.0,8.0
ND,3.0,5.0,0.0,8.0
WY,0.0,2.0,0.0,2.0
