a,b,na,nb,intersection,union,jaccard
kaggle_arshkon,kaggle_asaniczka,2298,4948,742,6504,0.11408364083640836
kaggle_arshkon,scraped,2298,7940,1004,9234,0.10872861165258826
kaggle_asaniczka,scraped,4948,7940,1529,11359,0.13460691962320626
