a,b,na,nb,intersection,jaccard
kaggle_arshkon,kaggle_asaniczka,2162,7577,449,0.04833153928955867
kaggle_arshkon,scraped,2162,18321,517,0.025894019833717318
kaggle_asaniczka,scraped,7577,18321,927,0.03712306275279324
