panel,scale,rate_2024_pct,rate_2026_pct,delta_pp,fold_change
ALL,ai_tool,0.82,13.93,13.11,17.0
ALL,ai_strict,0.82,13.96,13.14,17.0
ALL,ai_broad,7.15,46.81,39.66,6.5
J2,ai_tool,0.72,11.91,11.19,16.5
J2,ai_strict,0.72,11.91,11.19,16.5
J2,ai_broad,6.94,43.48,36.54,6.3
J3,ai_tool,0.85,12.74,11.89,15.0
J3,ai_strict,0.85,12.76,11.91,15.0
J3,ai_broad,8.95,47.32,38.37,5.3
S1,ai_tool,0.88,15.29,14.41,17.4
S1,ai_strict,0.88,15.31,14.43,17.4
S1,ai_broad,7.5,51.4,43.9,6.9
S4,ai_tool,0.7,13.99,13.29,20.0
S4,ai_strict,0.7,14.01,13.31,20.0
S4,ai_broad,6.58,46.19,39.61,7.0
