period,panel,n,ai_tool_rate_pct,ai_strict_rate_pct,ai_broad_rate_pct,ai_domain_rate_pct
2024,ALL,22820,0.82,0.82,7.15,4.55
2024,J2,418,0.72,0.72,6.94,5.02
2024,J3,1766,0.85,0.85,8.95,5.38
2024,S1,13595,0.88,0.88,7.5,4.78
2024,S4,10279,0.7,0.7,6.58,4.35
2026,ALL,40881,13.93,13.96,46.81,25.95
2026,J2,1327,11.91,11.91,43.48,28.49
2026,J3,4742,12.74,12.76,47.32,29.59
2026,S1,17713,15.29,15.31,51.4,28.41
2026,S4,15938,13.99,14.01,46.19,25.19
