source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
scraped,2026-04,director,16,0.6875,0.5,0.0,1.0,soft_skill_count,llm,none
scraped,2026-04,entry,62,0.532258064516129,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-04,mid-senior,1010,0.3485148514851485,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-04,unknown,886,0.30699774266365687,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.26666666666666666,0.0,0.0,0.5,scope_count,llm,none
kaggle_arshkon,2024-04,director,13,0.3076923076923077,0.0,0.0,0.0,scope_count,llm,none
kaggle_arshkon,2024-04,entry,175,0.15428571428571428,0.0,0.0,0.0,scope_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.32831471588149586,0.0,0.0,1.0,scope_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.20852296235002069,0.0,0.0,0.0,scope_count,llm,none
kaggle_asaniczka,2024-01,associate,8,0.25,0.0,0.0,0.25,scope_count,llm,none
kaggle_asaniczka,2024-01,director,72,0.20833333333333334,0.0,0.0,0.0,scope_count,llm,none
kaggle_asaniczka,2024-01,entry,149,0.1476510067114094,0.0,0.0,0.0,scope_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.2600087032201915,0.0,0.0,0.0,scope_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.2080286039330408,0.0,0.0,0.0,scope_count,llm,none
scraped,2026-03,associate,15,0.2,0.0,0.0,0.0,scope_count,llm,none
scraped,2026-03,director,36,0.6388888888888888,0.5,0.0,1.0,scope_count,llm,none
scraped,2026-03,entry,223,0.31390134529147984,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-03,mid-senior,1891,0.5959809624537282,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-03,unknown,1814,0.4531422271223815,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-04,associate,13,0.3076923076923077,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-04,director,16,0.8125,1.0,0.0,1.25,scope_count,llm,none
scraped,2026-04,entry,62,0.41935483870967744,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-04,mid-senior,1010,0.5881188118811881,0.0,0.0,1.0,scope_count,llm,none
scraped,2026-04,unknown,886,0.38148984198645597,0.0,0.0,1.0,scope_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.2,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_arshkon,2024-04,director,13,0.15384615384615385,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_arshkon,2024-04,entry,175,0.06285714285714286,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.152986886838271,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.11046752172114191,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_asaniczka,2024-01,associate,8,0.25,0.0,0.0,0.25,management_strong_count,llm,none
kaggle_asaniczka,2024-01,director,72,0.1111111111111111,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_asaniczka,2024-01,entry,149,0.10067114093959731,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.1257615317667537,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.09913863156183975,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-03,associate,15,0.13333333333333333,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-03,director,36,0.2222222222222222,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-03,entry,223,0.12556053811659193,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-03,mid-senior,1891,0.16287678476996298,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-03,unknown,1814,0.08654906284454245,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-04,associate,13,0.0,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-04,director,16,0.1875,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-04,entry,62,0.1935483870967742,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-04,mid-senior,1010,0.13267326732673268,0.0,0.0,0.0,management_strong_count,llm,none
scraped,2026-04,unknown,886,0.07787810383747178,0.0,0.0,0.0,management_strong_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.26666666666666666,0.0,0.0,0.0,management_broad_count,llm,none
kaggle_arshkon,2024-04,director,13,1.0,1.0,1.0,1.0,management_broad_count,llm,none
kaggle_arshkon,2024-04,entry,175,0.49714285714285716,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.6546867411364741,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.4753827058336781,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_asaniczka,2024-01,associate,8,0.0,0.0,0.0,0.0,management_broad_count,llm,none
kaggle_asaniczka,2024-01,director,72,0.7222222222222222,1.0,0.0,1.0,management_broad_count,llm,none
kaggle_asaniczka,2024-01,entry,149,0.4563758389261745,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.5405787641427328,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.45083699008613687,0.0,0.0,1.0,management_broad_count,llm,none
