source,period,seniority_final,education_level,n
kaggle_arshkon,2024-04,associate,none,14
kaggle_arshkon,2024-04,associate,phd,1
kaggle_arshkon,2024-04,director,bs,2
kaggle_arshkon,2024-04,director,none,11
kaggle_arshkon,2024-04,entry,bs,11
kaggle_arshkon,2024-04,entry,ms,1
kaggle_arshkon,2024-04,entry,none,158
kaggle_arshkon,2024-04,entry,phd,2
kaggle_arshkon,2024-04,mid-senior,bs,130
kaggle_arshkon,2024-04,mid-senior,ms,35
kaggle_arshkon,2024-04,mid-senior,none,1802
kaggle_arshkon,2024-04,mid-senior,phd,25
kaggle_arshkon,2024-04,unknown,bs,132
kaggle_arshkon,2024-04,unknown,ms,25
kaggle_arshkon,2024-04,unknown,none,2196
kaggle_arshkon,2024-04,unknown,phd,13
kaggle_asaniczka,2024-01,associate,ms,1
kaggle_asaniczka,2024-01,associate,none,6
kaggle_asaniczka,2024-01,director,bs,6
kaggle_asaniczka,2024-01,director,none,40
kaggle_asaniczka,2024-01,entry,bs,8
kaggle_asaniczka,2024-01,entry,none,108
kaggle_asaniczka,2024-01,entry,phd,2
kaggle_asaniczka,2024-01,mid-senior,bs,516
kaggle_asaniczka,2024-01,mid-senior,ms,136
kaggle_asaniczka,2024-01,mid-senior,none,5944
kaggle_asaniczka,2024-01,mid-senior,phd,94
kaggle_asaniczka,2024-01,unknown,bs,385
kaggle_asaniczka,2024-01,unknown,ms,73
kaggle_asaniczka,2024-01,unknown,none,4457
kaggle_asaniczka,2024-01,unknown,phd,69
scraped,2026-03,associate,bs,1
scraped,2026-03,associate,none,10
scraped,2026-03,director,bs,2
scraped,2026-03,director,none,28
scraped,2026-03,entry,bs,10
scraped,2026-03,entry,ms,3
scraped,2026-03,entry,none,144
scraped,2026-03,entry,phd,4
scraped,2026-03,mid-senior,bs,63
scraped,2026-03,mid-senior,ms,24
scraped,2026-03,mid-senior,none,1306
scraped,2026-03,mid-senior,phd,18
scraped,2026-03,unknown,bs,48
scraped,2026-03,unknown,ms,9
scraped,2026-03,unknown,none,1269
scraped,2026-03,unknown,phd,8
scraped,2026-04,associate,bs,2
scraped,2026-04,associate,none,9
scraped,2026-04,director,bs,2
scraped,2026-04,director,ms,2
scraped,2026-04,director,none,11
scraped,2026-04,entry,bs,3
scraped,2026-04,entry,ms,1
scraped,2026-04,entry,none,54
scraped,2026-04,mid-senior,bs,46
scraped,2026-04,mid-senior,ms,25
scraped,2026-04,mid-senior,none,739
scraped,2026-04,mid-senior,phd,9
scraped,2026-04,unknown,bs,43
scraped,2026-04,unknown,ms,9
scraped,2026-04,unknown,none,655
scraped,2026-04,unknown,phd,9
