metro_area,mean_tech_count_A,mean_tech_count_B,d_mean_tech_count,n_A,n_B
Washington DC Metro,4.983870967741935,7.9479578392621875,2.9640868715202524,2108,3036
New York City Metro,4.314285714285714,7.14635340186001,2.8320676875742956,70,2043
Phoenix Metro,4.11614730878187,6.801699716713881,2.685552407932011,353,706
Houston Metro,4.253218884120171,6.891634980988593,2.638416096868422,233,526
Tampa Bay Metro,5.906542056074766,8.344827586206897,2.4382855301321307,214,290
Dallas-Fort Worth Metro,6.198589894242068,8.601554907677357,2.4029650134352893,851,2058
Charlotte Metro,5.360655737704918,7.72196041470311,2.3613046769981922,305,1061
Detroit Metro,3.566666666666667,5.863344051446945,2.296677384780278,360,622
Salt Lake City Metro,4.81651376146789,7.049883990719257,2.233370229251367,327,1724
Atlanta Metro,5.9311531841652325,8.133394664213432,2.2022414800481993,581,1087
Seattle Metro,3.8346456692913384,5.886869604725125,2.0522239354337866,762,2201
Austin Metro,5.069832402234637,6.928255093002657,1.8584226907680206,358,1129
Boston Metro,4.917345750873109,6.767683322517845,1.8503375716447366,859,1541
Nashville Metro,5.950980392156863,7.757009345794392,1.8060289536375294,102,214
Miami Metro,5.86697247706422,7.576323987538941,1.709351510474721,218,321
Minneapolis-Saint Paul,4.596153846153846,6.227598566308243,1.6314447201543976,260,558
Los Angeles Metro,4.372023809523809,5.8024096385542165,1.4303858290304072,1008,1660
Pittsburgh Metro,4.368932038834951,5.771428571428571,1.40249653259362,206,455
Raleigh-Durham-Chapel Hill,5.172839506172839,6.575268817204301,1.4024293110314616,243,558
Columbus Metro,5.642857142857143,6.8619329388560155,1.2190757959988723,140,507
Chicago Metro,6.21978021978022,7.396317829457364,1.176537609677144,728,1032
San Francisco Bay Area,4.730635838150289,5.822625698324022,1.091989860173733,1730,5012
Philadelphia Metro,6.130784708249497,7.217809867629362,1.0870251593798654,497,831
San Diego Metro,4.022388059701493,4.896341463414634,0.8739534037131413,268,492
Denver Metro,5.479353680430879,6.348178137651822,0.8688244572209429,557,741
Portland Metro,4.7844827586206895,4.967741935483871,0.1832591768631815,116,155
