metro_area,median_desc_length_A,median_desc_length_B,d_median_desc_length,n_A,n_B
Philadelphia Metro,2744.0,4437.0,1693.0,497,831
Seattle Metro,4127.0,5605.0,1478.0,762,2201
Phoenix Metro,2611.0,4086.0,1475.0,353,706
San Diego Metro,4098.0,5514.0,1416.0,268,492
Detroit Metro,3223.5,4628.5,1405.0,360,622
Portland Metro,3231.0,4550.0,1319.0,116,155
Minneapolis-Saint Paul,3047.5,4364.5,1317.0,260,558
Nashville Metro,3365.0,4528.5,1163.5,102,214
Washington DC Metro,3830.5,4919.5,1089.0,2108,3036
Houston Metro,2629.0,3689.0,1060.0,233,526
Dallas-Fort Worth Metro,2823.0,3843.5,1020.5,851,2058
Los Angeles Metro,4289.5,5287.5,998.0,1008,1660
Atlanta Metro,2975.0,3960.0,985.0,581,1087
New York City Metro,3328.0,4308.0,980.0,70,2043
Columbus Metro,3361.0,4334.0,973.0,140,507
San Francisco Bay Area,3779.5,4726.0,946.5,1730,5012
Austin Metro,3445.0,4390.0,945.0,358,1129
Tampa Bay Metro,3195.0,4132.5,937.5,214,290
Boston Metro,3677.0,4606.0,929.0,859,1541
Charlotte Metro,2644.0,3505.0,861.0,305,1061
Chicago Metro,3647.5,4361.5,714.0,728,1032
Denver Metro,4670.0,5138.0,468.0,557,741
Pittsburgh Metro,3504.5,3951.0,446.5,206,455
Miami Metro,3191.5,3540.0,348.5,218,321
Raleigh-Durham-Chapel Hill,3526.0,3716.5,190.5,243,558
Salt Lake City Metro,4090.0,4021.0,-69.0,327,1724
