metro_area,archetype_name,2024,scraped,d_share
San Diego Metro,generic_software_engineer,0.2857142857142857,0.6129032258064516,0.3271889400921659
Seattle Metro,ai_ml_engineering,0.043209876543209874,0.2913907284768212,0.2481808519336113
Nashville Metro,java_spring_backend,0.05263157894736842,0.2857142857142857,0.23308270676691728
San Francisco Bay Area,ai_ml_engineering,0.11557788944723618,0.31805157593123207,0.20247368648399588
Raleigh-Durham-Chapel Hill,ai_ml_engineering,0.014925373134328358,0.20930232558139536,0.19437695244706701
Portland Metro,cloud_devops,0.1111111111111111,0.2857142857142857,0.1746031746031746
Atlanta Metro,ai_ml_engineering,0.006622516556291391,0.1774193548387097,0.1707968382824183
Salt Lake City Metro,ai_ml_engineering,0.016129032258064516,0.18518518518518517,0.16905615292712067
Phoenix Metro,generic_software_engineer,0.17105263157894737,0.3333333333333333,0.16228070175438594
Phoenix Metro,cloud_devops,0.05263157894736842,0.21212121212121213,0.1594896331738437
Minneapolis-Saint Paul,generic_software_engineer,0.1323529411764706,0.28,0.14764705882352944
Dallas-Fort Worth Metro,ai_ml_engineering,0.012711864406779662,0.1565217391304348,0.14380987472365514
Boston Metro,ai_ml_engineering,0.006060606060606061,0.1368421052631579,0.13078149920255183
Salt Lake City Metro,data_engineering,0.06451612903225806,0.19444444444444445,0.12992831541218638
Houston Metro,frontend_react,0.041666666666666664,0.15384615384615385,0.1121794871794872
Detroit Metro,ai_ml_engineering,0.028169014084507043,0.13793103448275862,0.10976202039825157
Detroit Metro,data_engineering,0.028169014084507043,0.13793103448275862,0.10976202039825157
Nashville Metro,generic_software_engineer,0.10526315789473684,0.21428571428571427,0.10902255639097744
Portland Metro,customer_project_engineer,0.037037037037037035,0.14285714285714285,0.10582010582010581
Miami Metro,generic_software_engineer,0.12195121951219512,0.2222222222222222,0.10027100271002709
Austin Metro,cloud_devops,0.061224489795918366,0.16,0.09877551020408164
Philadelphia Metro,generic_software_engineer,0.15151515151515152,0.25,0.09848484848484848
Phoenix Metro,ai_ml_engineering,0.02631578947368421,0.12121212121212122,0.094896331738437
Columbus Metro,technology_leadership,0.09302325581395349,0.1875,0.09447674418604651
Washington DC Metro,ai_ml_engineering,0.02558139534883721,0.11931818181818182,0.09373678646934461
Pittsburgh Metro,ai_ml_engineering,0.07407407407407407,0.16666666666666666,0.09259259259259259
Nashville Metro,ai_ml_engineering,0.05263157894736842,0.14285714285714285,0.09022556390977443
Miami Metro,data_engineering,0.024390243902439025,0.1111111111111111,0.08672086720867209
Los Angeles Metro,generic_software_engineer,0.21256038647342995,0.29906542056074764,0.08650503408731769
Austin Metro,ai_ml_engineering,0.061224489795918366,0.14666666666666667,0.0854421768707483
Denver Metro,ai_ml_engineering,0.015873015873015872,0.1,0.08412698412698413
Los Angeles Metro,ai_ml_engineering,0.01932367149758454,0.102803738317757,0.08348006682017246
Pittsburgh Metro,qa_test_automation,0.018518518518518517,0.1,0.08148148148148149
Tampa Bay Metro,technology_leadership,0.09090909090909091,0.16666666666666666,0.07575757575757575
Austin Metro,data_engineering,0.07142857142857142,0.14666666666666667,0.07523809523809524
Charlotte Metro,data_engineering,0.08333333333333333,0.1568627450980392,0.07352941176470588
Chicago Metro,data_engineering,0.09259259259259259,0.1643835616438356,0.07179096905124302
Raleigh-Durham-Chapel Hill,frontend_react,0.04477611940298507,0.11627906976744186,0.07150295036445678
Washington DC Metro,generic_software_engineer,0.2651162790697674,0.3352272727272727,0.07011099365750528
Chicago Metro,ai_ml_engineering,0.043209876543209874,0.1095890410958904,0.06637916455268053
Chicago Metro,generic_software_engineer,0.16666666666666666,0.2328767123287671,0.06621004566210045
Minneapolis-Saint Paul,ai_ml_engineering,0.014705882352941176,0.08,0.06529411764705882
New York City Metro,technology_leadership,0.058823529411764705,0.12295081967213115,0.06412729026036644
Houston Metro,azure_dotnet_web,0.013888888888888888,0.07692307692307693,0.06303418803418803
Boston Metro,data_engineering,0.09696969696969697,0.15789473684210525,0.060925039872408285
San Francisco Bay Area,recommendation_ecommerce,0.01507537688442211,0.07449856733524356,0.05942319045082145
Raleigh-Durham-Chapel Hill,data_engineering,0.1044776119402985,0.16279069767441862,0.05831308573412011
Salt Lake City Metro,technology_leadership,0.03225806451612903,0.08333333333333333,0.0510752688172043
Minneapolis-Saint Paul,network_security_linux,0.029411764705882353,0.08,0.05058823529411765
Denver Metro,generic_software_engineer,0.30952380952380953,0.36,0.05047619047619045
Atlanta Metro,technology_leadership,0.046357615894039736,0.0967741935483871,0.05041657765434736
San Diego Metro,test_engineering,0.014285714285714285,0.06451612903225806,0.05023041474654378
Salt Lake City Metro,frontend_react,0.08064516129032258,0.12962962962962962,0.048984468339307044
Seattle Metro,recommendation_ecommerce,0.012345679012345678,0.059602649006622516,0.04725696999427684
Detroit Metro,cloud_devops,0.056338028169014086,0.10344827586206896,0.04711024769305488
Boston Metro,mobile_android_ios,0.006060606060606061,0.05263157894736842,0.04657097288676236
Boston Metro,customer_project_engineer,0.006060606060606061,0.05263157894736842,0.04657097288676236
Minneapolis-Saint Paul,data_engineering,0.07352941176470588,0.12,0.04647058823529411
Minneapolis-Saint Paul,cloud_devops,0.07352941176470588,0.12,0.04647058823529411
Austin Metro,test_engineering,0.02040816326530612,0.06666666666666667,0.04625850340136055
Charlotte Metro,ai_ml_engineering,0.013888888888888888,0.058823529411764705,0.04493464052287582
Washington DC Metro,cloud_devops,0.08604651162790698,0.13068181818181818,0.044635306553911194
Columbus Metro,frontend_react,0.023255813953488372,0.0625,0.03924418604651163
Miami Metro,systems_engineering,0.07317073170731707,0.1111111111111111,0.037940379403794036
Pittsburgh Metro,generic_software_engineer,0.2962962962962963,0.3333333333333333,0.037037037037037035
Charlotte Metro,technology_leadership,0.041666666666666664,0.0784313725490196,0.03676470588235294
San Diego Metro,ai_ml_engineering,0.02857142857142857,0.06451612903225806,0.035944700460829496
Washington DC Metro,data_engineering,0.06744186046511629,0.10227272727272728,0.034830866807610994
Dallas-Fort Worth Metro,data_engineering,0.1228813559322034,0.1565217391304348,0.0336403831982314
Houston Metro,customer_project_engineer,0.08333333333333333,0.11538461538461539,0.03205128205128206
Minneapolis-Saint Paul,frontend_react,0.08823529411764706,0.12,0.03176470588235293
Portland Metro,azure_dotnet_web,0.1111111111111111,0.14285714285714285,0.031746031746031744
Boston Metro,generic_software_engineer,0.2,0.23157894736842105,0.03157894736842104
Charlotte Metro,python_backend_developer,0.027777777777777776,0.058823529411764705,0.03104575163398693
Denver Metro,frontend_react,0.031746031746031744,0.06,0.028253968253968254
Chicago Metro,frontend_react,0.043209876543209874,0.0684931506849315,0.02528327414172163
Denver Metro,cloud_devops,0.09523809523809523,0.12,0.024761904761904763
San Francisco Bay Area,backend_platform,0.02763819095477387,0.05157593123209169,0.02393774027731782
Chicago Metro,aws_cloud_services,0.030864197530864196,0.0547945205479452,0.023930323017081007
Boston Metro,backend_platform,0.01818181818181818,0.042105263157894736,0.023923444976076555
New York City Metro,cloud_devops,0.058823529411764705,0.08196721311475409,0.023143683702989387
Los Angeles Metro,network_security_linux,0.033816425120772944,0.056074766355140186,0.022258341234367242
Los Angeles Metro,java_spring_backend,0.033816425120772944,0.056074766355140186,0.022258341234367242
Houston Metro,systems_engineering,0.05555555555555555,0.07692307692307693,0.021367521367521375
Los Angeles Metro,cloud_devops,0.0821256038647343,0.102803738317757,0.020678134453022703
Detroit Metro,qa_test_automation,0.014084507042253521,0.034482758620689655,0.02039825157843613
Austin Metro,aws_cloud_services,0.02040816326530612,0.04,0.01959183673469388
Boston Metro,internship_new_grad,0.012121212121212121,0.031578947368421054,0.01945773524720893
Tampa Bay Metro,dotnet_web_sql,0.022727272727272728,0.041666666666666664,0.018939393939393936
Tampa Bay Metro,cloud_devops,0.022727272727272728,0.041666666666666664,0.018939393939393936
Los Angeles Metro,mobile_android_ios,0.00966183574879227,0.028037383177570093,0.018375547428777825
Charlotte Metro,frontend_react,0.041666666666666664,0.058823529411764705,0.01715686274509804
Charlotte Metro,angular_frontend,0.041666666666666664,0.058823529411764705,0.01715686274509804
Phoenix Metro,test_engineering,0.013157894736842105,0.030303030303030304,0.0171451355661882
Austin Metro,network_security_linux,0.01020408163265306,0.02666666666666667,0.016462585034013606
Pittsburgh Metro,systems_engineering,0.018518518518518517,0.03333333333333333,0.014814814814814815
Dallas-Fort Worth Metro,internship_new_grad,0.00423728813559322,0.017391304347826087,0.013154016212232868
Detroit Metro,frontend_react,0.056338028169014086,0.06896551724137931,0.012627489072365224
Los Angeles Metro,test_engineering,0.043478260869565216,0.056074766355140186,0.01259650548557497
Atlanta Metro,customer_project_engineer,0.019867549668874173,0.03225806451612903,0.012390514847254858
Denver Metro,data_engineering,0.047619047619047616,0.06,0.012380952380952381
Denver Metro,azure_dotnet_web,0.007936507936507936,0.02,0.012063492063492064
Denver Metro,python_backend_developer,0.007936507936507936,0.02,0.012063492063492064
Seattle Metro,frontend_react,0.07407407407407407,0.08609271523178808,0.012018641157714005
Salt Lake City Metro,backend_platform,0.016129032258064516,0.027777777777777776,0.01164874551971326
Atlanta Metro,mobile_android_ios,0.052980132450331126,0.06451612903225806,0.011535996581926937
Boston Metro,cloud_devops,0.07272727272727272,0.08421052631578947,0.011483253588516748
Charlotte Metro,customer_project_engineer,0.027777777777777776,0.0392156862745098,0.011437908496732027
Pittsburgh Metro,data_engineering,0.05555555555555555,0.06666666666666667,0.011111111111111113
Pittsburgh Metro,frontend_react,0.05555555555555555,0.06666666666666667,0.011111111111111113
San Diego Metro,data_engineering,0.08571428571428572,0.0967741935483871,0.011059907834101379
Philadelphia Metro,frontend_react,0.06060606060606061,0.07142857142857142,0.010822510822510817
