metro_area,org_scope_per_1k_A,org_scope_per_1k_B,d_org_scope_per_1k,n_A,n_B
New York City Metro,0.10361514976130971,0.14857992283676894,0.04496477307545922,70,2043
Columbus Metro,0.09926967921843416,0.09896892910492085,-0.00030075011351331227,140,507
Salt Lake City Metro,0.20426975646794346,0.1630801988539237,-0.04118955761401977,327,1724
Raleigh-Durham-Chapel Hill,0.15122082307828233,0.10976729134234961,-0.04145353173593272,243,558
Washington DC Metro,0.13309553748898142,0.07773105056006996,-0.055364486928911466,2108,3036
Philadelphia Metro,0.13332372577115817,0.07786770301625039,-0.05545602275490778,497,831
Tampa Bay Metro,0.15008443210143615,0.0918696396572574,-0.05821479244417875,214,290
San Diego Metro,0.19063380305469804,0.1290259794469997,-0.06160782360769834,268,492
Phoenix Metro,0.15141714194402564,0.08825388525604609,-0.06316325668797955,353,706
Chicago Metro,0.1949161621169814,0.12519239584970115,-0.06972376626728025,728,1032
Detroit Metro,0.1603928044280489,0.08802357187576866,-0.07236923255228024,360,622
Houston Metro,0.18835186795445535,0.10634301010706394,-0.08200885784739141,233,526
Pittsburgh Metro,0.16913893299439436,0.08668281250174661,-0.08245612049264775,206,455
Charlotte Metro,0.18888845069650192,0.10019402160410516,-0.08869442909239676,305,1061
Dallas-Fort Worth Metro,0.20129933315700183,0.10858933065952328,-0.09271000249747854,851,2058
Boston Metro,0.22062702878417653,0.12627891446621323,-0.0943481143179633,859,1541
Los Angeles Metro,0.21587639992014143,0.11767137436171869,-0.09820502555842274,1008,1660
Denver Metro,0.20952277110025058,0.11130711419991908,-0.0982156569003315,557,741
Atlanta Metro,0.2176692532291153,0.11804424234589424,-0.09962501088322105,581,1087
Austin Metro,0.24133507202364662,0.13016135818423727,-0.11117371383940935,358,1129
San Francisco Bay Area,0.32018255829995707,0.18746912282337105,-0.132713435476586,1730,5012
Minneapolis-Saint Paul,0.2255018673274211,0.08802029306443429,-0.13748157426298682,260,558
Portland Metro,0.21674233971827903,0.07761737870265678,-0.13912496101562224,116,155
Nashville Metro,0.2821495890786682,0.1355665467754514,-0.1465830423032168,102,214
Seattle Metro,0.29836715752843357,0.14046070071003344,-0.15790645681840013,762,2201
Miami Metro,0.23766863474083197,0.07732068860344077,-0.1603479461373912,218,321
