metro_area,period,archetype_name,n,n_metro_period,share
Miami Metro,scraped,ai_ml_engineering,4,9,0.4444444444444444
San Francisco Bay Area,scraped,ai_ml_engineering,111,349,0.31805157593123207
Seattle Metro,scraped,ai_ml_engineering,44,151,0.2913907284768212
Tampa Bay Metro,scraped,ai_ml_engineering,6,24,0.25
Raleigh-Durham-Chapel Hill,scraped,ai_ml_engineering,9,43,0.20930232558139536
New York City Metro,scraped,ai_ml_engineering,25,122,0.20491803278688525
Salt Lake City Metro,scraped,ai_ml_engineering,20,108,0.18518518518518517
Atlanta Metro,scraped,ai_ml_engineering,11,62,0.1774193548387097
Pittsburgh Metro,scraped,ai_ml_engineering,5,30,0.16666666666666666
Dallas-Fort Worth Metro,scraped,ai_ml_engineering,18,115,0.1565217391304348
Austin Metro,scraped,ai_ml_engineering,11,75,0.14666666666666667
Nashville Metro,scraped,ai_ml_engineering,2,14,0.14285714285714285
Detroit Metro,scraped,ai_ml_engineering,4,29,0.13793103448275862
Boston Metro,scraped,ai_ml_engineering,13,95,0.1368421052631579
Phoenix Metro,scraped,ai_ml_engineering,4,33,0.12121212121212122
Washington DC Metro,scraped,ai_ml_engineering,21,176,0.11931818181818182
Houston Metro,scraped,ai_ml_engineering,3,26,0.11538461538461539
Chicago Metro,scraped,ai_ml_engineering,8,73,0.1095890410958904
Los Angeles Metro,scraped,ai_ml_engineering,11,107,0.102803738317757
Denver Metro,scraped,ai_ml_engineering,5,50,0.1
Philadelphia Metro,scraped,ai_ml_engineering,5,56,0.08928571428571429
Minneapolis-Saint Paul,scraped,ai_ml_engineering,2,25,0.08
San Diego Metro,scraped,ai_ml_engineering,2,31,0.06451612903225806
Columbus Metro,scraped,ai_ml_engineering,2,32,0.0625
Charlotte Metro,scraped,ai_ml_engineering,3,51,0.058823529411764705
