metro_area,ai_strict_A,ai_strict_B,d_ai_strict,n_A,n_B
Tampa Bay Metro,0.014018691588785047,0.21379310344827587,0.19977441185949082,214,290
Atlanta Metro,0.0051635111876075735,0.19135234590616376,0.18618883471855618,581,1087
Charlotte Metro,0.0,0.17153628652214892,0.17153628652214892,305,1061
Miami Metro,0.009174311926605505,0.17757009345794392,0.1683957815313384,218,321
Salt Lake City Metro,0.0061162079510703364,0.17227378190255221,0.16615757395148187,327,1724
Dallas-Fort Worth Metro,0.011750881316098707,0.17638483965014579,0.1646339583340471,851,2058
New York City Metro,0.014285714285714285,0.16691140479686736,0.15262569051115307,70,2043
Seattle Metro,0.013123359580052493,0.1635620172648796,0.15043865768482712,762,2201
Minneapolis-Saint Paul,0.011538461538461539,0.16129032258064516,0.14975186104218363,260,558
Raleigh-Durham-Chapel Hill,0.0,0.14336917562724014,0.14336917562724014,243,558
Boston Metro,0.006984866123399301,0.14471122647631407,0.13772636035291477,859,1541
Phoenix Metro,0.0028328611898017,0.1388101983002833,0.1359773371104816,353,706
Portland Metro,0.0,0.13548387096774195,0.13548387096774195,116,155
San Francisco Bay Area,0.026589595375722544,0.16181165203511572,0.13522205665939319,1730,5012
Austin Metro,0.013966480446927373,0.14348981399468555,0.1295233335477582,358,1129
Chicago Metro,0.004120879120879121,0.13275193798449614,0.128631058863617,728,1032
Philadelphia Metro,0.002012072434607646,0.11793020457280386,0.11591813213819621,497,831
Columbus Metro,0.007142857142857143,0.11045364891518737,0.10331079177233023,140,507
Houston Metro,0.012875536480686695,0.11406844106463879,0.1011929045839521,233,526
Nashville Metro,0.0,0.08878504672897196,0.08878504672897196,102,214
Pittsburgh Metro,0.024271844660194174,0.10989010989010989,0.08561826522991571,206,455
Washington DC Metro,0.0056925996204933585,0.08827404479578392,0.08258144517529056,2108,3036
Los Angeles Metro,0.013888888888888888,0.0963855421686747,0.08249665327978581,1008,1660
Detroit Metro,0.002777777777777778,0.08038585209003216,0.07760807431225437,360,622
San Diego Metro,0.0,0.07520325203252033,0.07520325203252033,268,492
Denver Metro,0.0017953321364452424,0.06747638326585695,0.06568105112941171,557,741
