source,period,n_swe,n_swe_adjacent,n_control,n_other,n_total
kaggle_arshkon,2024-04,4691.0,2396.0,8614.0,94659.0,110360
kaggle_asaniczka,2024-01,18129.0,9420.0,105341.0,714636.0,847526
scraped,2026-03,19777.0,5593.0,19774.0,76693.0,121837
scraped,2026-04,21104.0,5999.0,22016.0,82670.0,131789
