source,source_platform,dp_min,dp_max,sd_min,sd_max
kaggle_arshkon,linkedin,2024-04-05,2024-04-20,,
kaggle_asaniczka,linkedin,2024-01-12,2024-01-17,,
scraped,indeed,2016-10-17,2026-04-14,2026-03-20,2026-04-14
scraped,linkedin,2026-03-19,2026-04-13,2026-03-20,2026-04-14
