source,source_platform,period,n_swe,n_swe_adjacent,n_control,n_total
kaggle_arshkon,linkedin,2024-04,4693.0,2397.0,8616.0,110619
kaggle_asaniczka,linkedin,2024-01,19029.0,10217.0,108829.0,892554
scraped,indeed,2026-03,4770.0,1360.0,12063.0,58947
scraped,indeed,2026-04,7093.0,2026.0,16291.0,81740
scraped,linkedin,2026-03,19778.0,5593.0,19776.0,121883
scraped,linkedin,2026-04,21121.0,6003.0,22021.0,131904
