source,source_platform,n_raw,n_english,n_date_ok,n_after_default
kaggle_arshkon,linkedin,110619,110360.0,110619.0,110360.0
kaggle_asaniczka,linkedin,892554,847526.0,892554.0,847526.0
scraped,indeed,140687,140590.0,140672.0,0.0
scraped,linkedin,253787,253626.0,253787.0,253626.0
