source,source_platform,period,n
kaggle_arshkon,linkedin,2024-04,110619
kaggle_asaniczka,linkedin,2024-01,892554
scraped,indeed,2026-03,58947
scraped,indeed,2026-04,81740
scraped,linkedin,2026-03,121883
scraped,linkedin,2026-04,131904
