source,distinct_industries,compound_rate,n_nonnull,n
kaggle_arshkon,374,0.4300108735048931,108866.0,110360
scraped,6569,0.4976737400739672,253565.0,253626
kaggle_asaniczka,0,0.0,0.0,847526
