period,occ_group,seniority_3level,n,total,share
2024-01,Control,junior,405,112080,0.003613490364025696
2024-01,Control,mid,5548,112080,0.049500356887937184
2024-01,Control,senior,106127,112080,0.9468861527480371
2024-01,SWE,junior,130,23213,0.0056003101710248564
2024-01,SWE,mid,1450,23213,0.0624649980614311
2024-01,SWE,senior,21633,23213,0.9319346917675441
2024-01,SWE-adjacent,junior,34,11068,0.0030719190458980846
2024-01,SWE-adjacent,mid,751,11068,0.06785327069027829
2024-01,SWE-adjacent,senior,10283,11068,0.9290748102638237
2024-04,Control,junior,1603,8445,0.18981645944345768
2024-04,Control,mid,401,8445,0.04748371817643576
2024-04,Control,senior,4965,8445,0.5879218472468917
2024-04,Control,unknown,1476,8445,0.1747779751332149
2024-04,SWE,junior,830,5019,0.16537158796573023
2024-04,SWE,mid,228,5019,0.045427375971309025
2024-04,SWE,senior,3008,5019,0.5993225742179717
2024-04,SWE,unknown,953,5019,0.18987846184498905
2024-04,SWE-adjacent,junior,409,2475,0.16525252525252526
2024-04,SWE-adjacent,mid,141,2475,0.05696969696969697
2024-04,SWE-adjacent,senior,1649,2475,0.6662626262626262
2024-04,SWE-adjacent,unknown,276,2475,0.11151515151515151
2026-03,Control,junior,8713,21291,0.4092339486167864
2026-03,Control,mid,801,21291,0.03762153022403832
2026-03,Control,senior,10847,21291,0.5094640928091682
2026-03,Control,unknown,930,21291,0.043680428350007044
2026-03,SWE,junior,3255,24095,0.1350902676903922
2026-03,SWE,mid,622,24095,0.02581448433284914
2026-03,SWE,senior,18592,24095,0.7716123677111434
2026-03,SWE,unknown,1626,24095,0.06748288026561527
2026-03,SWE-adjacent,junior,798,6667,0.11969401529923504
2026-03,SWE-adjacent,mid,221,6667,0.03314834258287085
2026-03,SWE-adjacent,senior,5174,6667,0.776061196940153
2026-03,SWE-adjacent,unknown,474,6667,0.07109644517774111
