period,occ_group,total,avg_tech_count
2024-01,Control,112080,0.30534439685938614
2024-01,SWE,23213,4.737560849523974
2024-01,SWE-adjacent,11068,2.175280086736538
2024-04,Control,8445,0.33238602723505034
2024-04,SWE,5019,4.7888025503088265
2024-04,SWE-adjacent,2475,2.6117171717171717
2026-03,Control,21291,0.4333286365130806
2026-03,SWE,24095,5.666860344469807
2026-03,SWE-adjacent,6667,3.6358182090895457
