metric,group,val_2024_01,val_2024_04,val_2026_03,change_04_26,change_01_26,did_swe_ctrl_04_26,did_swe_adj_04_26,did_swe_ctrl_01_26,did_swe_adj_01_26
AI prevalence (broad),SWE,0.14767587127902468,0.12333134090456266,0.3905789582901017,0.26724761738553904,0.24290308701107702,0.24365835072936723,0.02730112986143038,0.21896778802326694,-0.031153566137472638
AI prevalence (broad),SWE-adjacent,0.10932417780990242,0.14343434343434344,0.3833808309584521,0.23994648752410866,0.27405665314854966,,,,
AI prevalence (broad),Control,0.003916845110635261,0.004262877442273535,0.02785214409844535,0.023589266656171816,0.02393529898781009,,,,
GenAI prevalence,SWE,0.026881488820919314,0.03088264594540745,0.23282838763228886,0.2019457416868814,0.20594689881136954,0.19436136973475693,0.0338696000394183,0.19834225777968634,0.01650531378906664
GenAI prevalence,SWE-adjacent,0.014998192988796531,0.03636363636363636,0.20443977801109944,0.1680761416474631,0.1894415850223029,,,,
GenAI prevalence,Control,9.814418272662384e-05,0.00011841326228537596,0.007702785214409844,0.007584371952124468,0.007604641031683221,,,,
Trad ML prevalence,SWE,0.12738551673631154,0.09782825263996812,0.21004357750570657,0.11221532486573844,0.08265806076939503,0.10852072096160463,-0.04284934614313536,0.07838040783786009,-0.09868566387668204
Trad ML prevalence,SWE-adjacent,0.09089266353451392,0.11717171717171718,0.272236388180591,0.1550646710088738,0.18134372464607706,,,,
Trad ML prevalence,Control,0.0013115631691648822,0.0018946121965660154,0.005589216100699826,0.0036946039041338107,0.0042776529315349445,,,,
AI tools language,SWE,0.01805023047430319,0.024506873879258817,0.21282423739365014,0.18831736351439132,0.19477400691934696,0.1736222726592839,0.04269797781700954,0.17976101322143376,0.03967182798420266
AI tools language,SWE-adjacent,0.012739428984459704,0.022222222222222223,0.167841607919604,0.14561938569738178,0.1551021789351443,,,,
AI tools language,Control,0.0003925767309064954,0.0007104795737122557,0.015405570428819688,0.014695090855107432,0.015012993697913193,,,,
Description length (median core),SWE,2419.0,2504.0,4171.0,1667.0,1752.0,435.0,-40.0,872.0,-95.0
Description length (median core),SWE-adjacent,2624.0,2764.0,4471.0,1707.0,1847.0,,,,
Description length (median core),Control,2280.0,1928.0,3160.0,1232.0,880.0,,,,
Cross-functional/stakeholder,SWE,0.27269202601990267,0.2914923291492329,0.4508819257107284,0.15938959656149548,0.17818989969082571,0.05246914476242562,-0.04846879839754442,0.03323398920517953,-0.10617479425373255
Cross-functional/stakeholder,SWE-adjacent,0.26490784242862303,0.3414141414141414,0.5492725363731813,0.2078583949590399,0.28436469394455827,,,,
Cross-functional/stakeholder,Control,0.04911670235546039,0.08715216104203671,0.19407261284110658,0.10692045179906987,0.14495591048564618,,,,
Mentoring language,SWE,0.297333390772412,0.2167762502490536,0.3324341149616103,0.11565786471255671,0.035100724189198296,0.009912335430552033,0.005847476444091337,-0.04000912935750947,-0.07109297678711901
Mentoring language,SWE-adjacent,0.19109143476689555,0.1874747474747475,0.29728513574321286,0.10981038826846537,0.1061937009763173,,,,
Mentoring language,Control,0.13187901498929336,0.10124333925399645,0.20698886853600112,0.10574552928200467,0.07510985354670777,,,,
Leadership language,SWE,0.20863309352517986,0.16855947399880455,0.26573978003735216,0.0971803060385476,0.057106686512172294,-0.002001120782031296,0.01008320634807755,-0.009599903126642245,-0.028053954263161568
Leadership language,SWE-adjacent,0.24557282255149981,0.24363636363636362,0.3307334633268337,0.08709709969047005,0.08516064077533386,,,,
Leadership language,Control,0.25,0.21752516281823564,0.31670658963881454,0.0991814268205789,0.06670658963881454,,,,
Soft skills language,SWE,0.27583681557747813,0.28989838613269575,0.28387632288856607,-0.006022063244129683,0.008039507311087934,-0.0511493625065787,0.008364247743351205,-0.07889532792858112,0.016326918202559992
Soft skills language,SWE-adjacent,0.360769786772678,0.36686868686868684,0.35248237588120596,-0.014386310987480888,-0.008287410891472058,,,,
Soft skills language,Control,0.26180406852248395,0.303611604499704,0.348738903762153,0.04512729926244902,0.08693483523966905,,,,
Strategy/roadmap,SWE,0.12536078921294103,0.12193664076509265,0.21568790205436814,0.09375126128927548,0.09032711284142711,0.07000595675387401,-0.027662849823350696,0.05723072629533295,-0.047443844653343614
Strategy/roadmap,SWE-adjacent,0.15576436573906757,0.17212121212121212,0.2935353232338383,0.12141411111262618,0.13777095749477072,,,,
Strategy/roadmap,Control,0.01551570306923626,0.02486678507992895,0.04861208961533042,0.02374530453540147,0.03309638654609416,,,,
Tech mention count,SWE,4.737560849523974,4.7888025503088265,5.666860344469807,0.8780577941609806,0.9292994949458331,0.7771151848829503,-0.1460432432113934,0.8013152552921385,-0.5312386274071748
Tech mention count,SWE-adjacent,2.175280086736538,2.6117171717171717,3.6358182090895457,1.024101037372374,1.4605381223530078,,,,
Tech mention count,Control,0.30534439685938614,0.33238602723505034,0.4333286365130806,0.10094260927803028,0.1279842396536945,,,,
