_all,term,category,n,doc_share,mentions_per_1000_chars,mentions,doc_count,company_count,char_count
all,python,tech_stack,23327,0.3468084194281305,0.3204732090885358,12299,8090,2258,38377623.0
all,java,tech_stack,23327,0.29892399365542077,0.33248541734854187,12760,6973,1738,38377623.0
all,javascript,tech_stack,23327,0.18905131392806618,0.16817091564008535,6454,4410,1564,38377623.0
all,typescript,tech_stack,23327,0.09804089681484975,0.09372649264911483,3597,2287,767,38377623.0
all,react,tech_stack,23327,0.12882067989882967,0.12129464089008327,4655,3005,1241,38377623.0
all,angular,tech_stack,23327,0.0853946071076435,0.0731936941482801,2809,1992,863,38377623.0
all,vue,tech_stack,23327,0.023749303382346636,0.017692601753891847,679,554,265,38377623.0
all,node,tech_stack,23327,0.08500878809962704,0.07608600459700175,2920,1983,644,38377623.0
all,sql,tech_stack,23327,0.2842200025721267,0.28039777242066294,10761,6630,2051,38377623.0
all,postgres,tech_stack,23327,0.025035366742401508,0.01646792976209079,632,584,311,38377623.0
all,postgresql,tech_stack,23327,0.03793886912161872,0.02623924884560985,1007,885,443,38377623.0
all,mysql,tech_stack,23327,0.06151669738929138,0.041221938107005744,1582,1435,522,38377623.0
all,mongodb,tech_stack,23327,0.0361383804175419,0.026473760503614305,1016,843,399,38377623.0
all,redis,tech_stack,23327,0.029365113387919577,0.018943330596582285,727,685,262,38377623.0
all,kafka,tech_stack,23327,0.07364856175247567,0.06073851942315448,2331,1718,565,38377623.0
all,spark,tech_stack,23327,0.05787285120246924,0.05286935045456046,2029,1350,475,38377623.0
all,aws,tech_stack,23327,0.3097697946585502,0.3854850520575493,14794,7226,1882,38377623.0
all,azure,tech_stack,23327,0.22467526900158616,0.2625227727105454,10075,5241,1565,38377623.0
all,gcp,tech_stack,23327,0.09632614566810992,0.06868585894441664,2636,2247,559,38377623.0
all,docker,tech_stack,23327,0.17044626398593904,0.11743822695845442,4507,3976,1083,38377623.0
all,kubernetes,tech_stack,23327,0.1797487889570026,0.14177532568913923,5441,4193,1075,38377623.0
all,terraform,tech_stack,23327,0.07309126762978523,0.056282797921069785,2160,1705,668,38377623.0
all,git,tech_stack,23327,0.12697732241608436,0.08799398545345032,3377,2962,1268,38377623.0
all,linux,tech_stack,23327,0.170874951772624,0.14977477891218016,5748,3986,1290,38377623.0
all,spring,tech_stack,23327,0.06275989197067776,0.0766853121674576,2943,1464,634,38377623.0
all,spring boot,tech_stack,23327,0.03596690530286792,0.029157616145220874,1119,839,409,38377623.0
all,django,tech_stack,23327,0.010117031765764993,0.00826002173193478,317,236,170,38377623.0
all,flask,tech_stack,23327,0.007544905045655249,0.005419824984991905,208,176,130,38377623.0
all,fastapi,tech_stack,23327,0.0018004887040768208,0.0011986151409116715,46,42,39,38377623.0
all,graphql,tech_stack,23327,0.02490676040639602,0.017432033244998004,669,581,279,38377623.0
all,kotlin,tech_stack,23327,0.022934796587645218,0.02694278381962322,1034,535,223,38377623.0
all,scala,tech_stack,23327,0.05937325845586659,0.06000892759825172,2303,1385,273,38377623.0
all,ruby,tech_stack,23327,0.032280190337377286,0.02600473718760539,998,753,304,38377623.0
all,rails,tech_stack,23327,0.00814506794701419,0.0075564867579214065,290,190,127,38377623.0
all,php,tech_stack,23327,0.022463240022291765,0.0289491613381058,1111,524,280,38377623.0
all,airflow,tech_stack,23327,0.020062588416856004,0.015243257770289734,585,468,232,38377623.0
all,snowflake,tech_stack,23327,0.03545247995884597,0.045338920547528444,1740,827,292,38377623.0
all,databricks,tech_stack,23327,0.019462425515497064,0.021158162922179938,812,454,244,38377623.0
all,pandas,tech_stack,23327,0.01045998199511296,0.006592383275014192,253,244,114,38377623.0
all,numpy,tech_stack,23327,0.009173918635058087,0.005680393493885747,218,214,92,38377623.0
all,pytest,tech_stack,23327,0.0018862262614138122,0.0013549562462479763,52,44,36,38377623.0
all,jenkins,tech_stack,23327,0.07853560252068419,0.05484967112215366,2105,1832,736,38377623.0
all,prometheus,tech_stack,23327,0.011403095125819865,0.007686771012368327,295,266,150,38377623.0
all,grafana,tech_stack,23327,0.011831782912504822,0.00794733952126217,305,276,179,38377623.0
all,microservices,tech_stack,23327,0.10292793758305827,0.07522612851765208,2887,2401,716,38377623.0
all,rest api,tech_stack,23327,0.017233249024735286,0.011543184943997182,443,402,268,38377623.0
all,ci cd,tech_stack,23327,0.12882067989882967,0.10672886124291751,4096,3005,1230,38377623.0
all,etl,tech_stack,23327,0.04689844386333433,0.04883053856670591,1874,1094,551,38377623.0
all,lambda,tech_stack,23327,0.03489518583615553,0.024962463152030025,958,814,370,38377623.0
all,s3,tech_stack,23327,0.033994941484117115,0.023946245967344043,919,793,381,38377623.0
all,hadoop,tech_stack,23327,0.038624769580314654,0.0289491613381058,1111,901,265,38377623.0
all,elasticsearch,tech_stack,23327,0.01466112230462554,0.010735422566426274,412,342,192,38377623.0
all,bash,tech_stack,23327,0.04372615424186565,0.029053388741663338,1115,1020,497,38377623.0
all,powershell,tech_stack,23327,0.03185150255069233,0.023294824695109437,894,743,428,38377623.0
all,c#,tech_stack,23327,0.0,0.0,0,0,0,38377623.0
all,c++,tech_stack,23327,0.0,0.0,0,0,0,38377623.0
all,dotnet,tech_stack,23327,0.00047155656535345305,0.0003126822106726099,12,11,11,38377623.0
all,next js,tech_stack,23327,0.0,0.0,0,0,0,38377623.0
all,node js,tech_stack,23327,0.0644317743387491,0.05203553122610017,1997,1503,510,38377623.0
