term,category,doc_share,company_count,mentions_per_1000_chars,rank
python,tech_stack,0.3468084194281305,2258,0.3204732090885358,1
sql,tech_stack,0.2842200025721267,2051,0.28039777242066294,2
aws,tech_stack,0.3097697946585502,1882,0.3854850520575493,3
java,tech_stack,0.29892399365542077,1738,0.33248541734854187,4
azure,tech_stack,0.22467526900158616,1565,0.2625227727105454,5
javascript,tech_stack,0.18905131392806618,1564,0.16817091564008535,6
linux,tech_stack,0.170874951772624,1290,0.14977477891218016,7
git,tech_stack,0.12697732241608436,1268,0.08799398545345032,8
react,tech_stack,0.12882067989882967,1241,0.12129464089008327,9
ci cd,tech_stack,0.12882067989882967,1230,0.10672886124291751,10
docker,tech_stack,0.17044626398593904,1083,0.11743822695845442,11
kubernetes,tech_stack,0.1797487889570026,1075,0.14177532568913923,12
angular,tech_stack,0.0853946071076435,863,0.0731936941482801,13
typescript,tech_stack,0.09804089681484975,767,0.09372649264911483,14
jenkins,tech_stack,0.07853560252068419,736,0.05484967112215366,15
microservices,tech_stack,0.10292793758305827,716,0.07522612851765208,16
terraform,tech_stack,0.07309126762978523,668,0.056282797921069785,17
node,tech_stack,0.08500878809962704,644,0.07608600459700175,18
spring,tech_stack,0.06275989197067776,634,0.0766853121674576,19
kafka,tech_stack,0.07364856175247567,565,0.06073851942315448,20
