period,swe_n,junior_n,mid_n,senior_n,unknown_n,junior_share,mid_share,senior_share,unknown_share
2024-01,22043,121,1292,20630,0,0.005489270970376083,0.058612711518395866,0.935898017511228,0.0
2024-04,4639,773,210,2803,853,0.16663073938348782,0.045268376805345976,0.6042250485018323,0.1838758353093339
2026-03,4318,561,114,3379,264,0.12992125984251968,0.026401111625752663,0.7825382121352478,0.06113941639647985
