source,term,category,n,doc_share,mentions_per_1000_chars,mentions,doc_count,company_count,char_count
kaggle_asaniczka,copilot,ai_tool,20544,0.0005841121495327102,0.0004102057190471144,14,12,12,34129217.0
kaggle_arshkon,copilot,ai_tool,2783,0.001437297879985627,0.001883059199144338,8,4,4,4248406.0
scraped,copilot,ai_tool,3353,0.04175365344467641,0.029212033191709594,205,140,80,7017656.0
kaggle_asaniczka,cursor,ai_tool,20544,4.867601246105919e-05,2.930040850336531e-05,1,1,1,34129217.0
kaggle_arshkon,cursor,ai_tool,2783,0.0,0.0,0,0,0,4248406.0
scraped,cursor,ai_tool,3353,0.021473307485833582,0.012112306445343004,85,72,49,7017656.0
kaggle_asaniczka,claude,ai_tool,20544,9.735202492211838e-05,5.860081700673062e-05,2,2,2,34129217.0
kaggle_arshkon,claude,ai_tool,2783,0.0,0.0,0,0,0,4248406.0
scraped,claude,ai_tool,3353,0.037876528481956453,0.033486964878301245,235,127,70,7017656.0
kaggle_asaniczka,gpt,ai_tool,20544,0.001314252336448598,0.0008204114380942288,28,27,22,34129217.0
kaggle_arshkon,gpt,ai_tool,2783,0.001437297879985627,0.0011769119994652112,5,4,4,4248406.0
scraped,gpt,ai_tool,3353,0.014613778705636743,0.012112306445343004,85,49,22,7017656.0
kaggle_asaniczka,chatgpt,ai_tool,20544,0.0040887850467289715,0.002607736356799513,89,84,14,34129217.0
kaggle_arshkon,chatgpt,ai_tool,2783,0.0010779734099892202,0.0007061471996791267,3,3,2,4248406.0
scraped,chatgpt,ai_tool,3353,0.0020876826722338203,0.0017099726746366594,12,7,6,7017656.0
kaggle_asaniczka,llm,ai_tool,20544,0.005354361370716511,0.005537777207136044,189,110,67,34129217.0
kaggle_arshkon,llm,ai_tool,2783,0.01437297879985627,0.015535238392940787,66,40,33,4248406.0
scraped,llm,ai_tool,3353,0.11362958544586937,0.10445083087572261,733,381,189,7017656.0
kaggle_asaniczka,rag,ai_tool,20544,0.0002920560747663551,0.0001758024510201919,6,6,6,34129217.0
kaggle_arshkon,rag,ai_tool,2783,0.0035932446999640674,0.003059971198609549,13,10,10,4248406.0
scraped,rag,ai_tool,3353,0.05010438413361169,0.039756864685302325,279,168,111,7017656.0
kaggle_asaniczka,agent,ai_tool,20544,0.004526869158878504,0.003574649837410568,122,93,66,34129217.0
kaggle_arshkon,agent,ai_tool,2783,0.0064678404599353215,0.00423688319807476,18,18,15,4248406.0
scraped,agent,ai_tool,3353,0.06143751864002386,0.08065371115369577,566,206,135,7017656.0
kaggle_asaniczka,mcp,ai_tool,20544,0.0014116043613707165,0.0008497118465975941,29,29,13,34129217.0
kaggle_arshkon,mcp,ai_tool,2783,0.00035932446999640676,0.00023538239989304225,1,1,1,4248406.0
scraped,mcp,ai_tool,3353,0.021175067104085895,0.017669717637912145,124,71,48,7017656.0
kaggle_asaniczka,cross functional,org_scope,20544,0.13794781931464176,0.09830287052879062,3355,2834,1104,34129217.0
kaggle_arshkon,cross functional,org_scope,2783,0.18002155946819978,0.15064473593154704,640,501,371,4248406.0
scraped,cross functional,org_scope,3353,0.257679689830003,0.15375504299441295,1079,864,475,7017656.0
kaggle_asaniczka,ownership,org_scope,20544,0.09725467289719626,0.07029167999957338,2399,1998,650,34129217.0
kaggle_arshkon,ownership,org_scope,2783,0.07905138339920949,0.05649177597433014,240,220,170,4248406.0
scraped,ownership,org_scope,3353,0.21592603638532656,0.14093024793463801,989,724,380,7017656.0
kaggle_asaniczka,end to end,org_scope,20544,0.09642718068535826,0.07190320246725847,2454,1981,568,34129217.0
kaggle_arshkon,end to end,org_scope,2783,0.0955803090190442,0.07414545596630831,315,266,199,4248406.0
scraped,end to end,org_scope,3353,0.207873546078139,0.1303854164410453,915,697,376,7017656.0
kaggle_asaniczka,collaboration,org_scope,20544,0.17275116822429906,0.13070912233351267,4461,3549,1106,34129217.0
kaggle_arshkon,collaboration,org_scope,2783,0.17822493711821774,0.14240635193529055,605,496,345,4248406.0
scraped,collaboration,org_scope,3353,0.29436325678496866,0.1982143325349661,1391,987,478,7017656.0
kaggle_asaniczka,python,tech_stack,20544,0.3463785046728972,0.31729412368294296,10829,7116,1855,34129217.0
