period,swe_n,known_n,known_share,entry_n,associate_n,mid_senior_n,director_n,unknown_n,entry_share_of_known,entry_share_of_swe,associate_share_of_known,associate_share_of_swe,mid_senior_share_of_known,mid_senior_share_of_swe,director_share_of_known,director_share_of_swe
2024-01,22043,22043,1.0,121,1292,20544,86,0,0.005489270970376083,0.005489270970376083,0.058612711518395866,0.058612711518395866,0.9319965521934401,0.9319965521934401,0.00390146531778796,0.00390146531778796
2024-04,4639,3786,0.8161241646906661,773,210,2783,20,853,0.20417326994189117,0.16663073938348782,0.0554675118858954,0.045268376805345976,0.7350765979926044,0.5999137745203708,0.005282620179609086,0.004311273981461522
2026-03,4318,4054,0.9388605836035201,561,114,3353,26,264,0.13838184509126789,0.12992125984251968,0.028120374938332512,0.026401111625752663,0.827084361124815,0.7765169059749885,0.006413418845584608,0.006021306160259379
