metric,n_companies,overall_2024,overall_2026,change,within_component,between_component,within_share_of_change,spec
entry_final,122,0.0315712187958884,0.026385542168674697,-0.005185676627213705,-0.008686014067795128,0.003500337440581428,1.6750011025007117,all
entry_final,105,0.03495145631067961,0.028443782576321665,-0.006507673734357948,-0.0090582229559589,0.0025505492216009594,1.3919294859751588,no_aggregators
entry_yoe,122,0.09104258443465493,0.15879518072289156,0.06775259628823663,-0.0002664597548045083,0.06801905604304116,-0.003932834598262793,all
entry_yoe,105,0.10873786407766989,0.1793000744601638,0.07056221038249391,-0.009508468460169962,0.08007067884266388,-0.1347529847580988,no_aggregators
ai_mention,122,0.1380323054331865,0.5307228915662651,0.39269058613307856,0.2777531962951031,0.11493738983797548,0.7073080081450579,all
ai_mention,105,0.1495145631067961,0.5666418466120626,0.4171272835052665,0.2839613126565226,0.13316597084874388,0.6807545895111351,no_aggregators
description_length,122,3506.2268722466956,5276.906385542168,1770.6795132954726,958.3802599514316,812.2992533440411,0.5412499849663688,all
description_length,105,3814.381553398058,5606.2361876396135,1791.8546342415557,840.4641120743644,951.39052216719,0.46904703987336027,no_aggregators
tech_count,122,5.253303964757709,6.333373493975904,1.0800695292181945,1.4113465136973642,-0.33127698447916964,1.3067182024095834,all
tech_count,105,5.5,6.3608339538347,0.8608339538346996,1.300711177685376,-0.4398772238506774,1.5109896303360069,no_aggregators
