source,min_date_posted,max_date_posted,min_scrape_date,max_scrape_date,n_swe,n_date_posted_populated,n_posting_age_populated
kaggle_arshkon,2024-04-05,2024-04-20,,,4691,4691,0
kaggle_asaniczka,2024-01-12,2024-01-17,,,18129,18129,0
scraped,2026-03-19,2026-04-13,2026-03-20,2026-04-14,40881,329,329
