period,n,desc_len_mean,desc_len_median,desc_len_sd,desc_len_min,desc_len_p25,desc_len_p75,desc_len_max,core_len_mean,core_len_median,core_len_sd,yoe_n,yoe_mean,yoe_median,yoe_sd,yoe_min,yoe_max,yoe_p25,yoe_p75
2024-01,21626,4148.617127531675,3948.0,2064.4062507598787,81,2602.25,5647.0,18817,2827.4249052066957,2535.0,1865.7458344896345,7387.0,4.889264924868011,5.0,2.763182438371687,1.0,20.0,3.0,6.0
2024-04,4438,3451.9905362776026,3123.5,2162.2691868547686,68,1581.75,4949.75,15768,2931.934655250113,2724.0,1802.1305413186844,1753.0,4.577296063890474,5.0,2.789184958051101,1.0,20.0,2.0,6.0
2026-03,4219,5228.625977719838,5110.0,2326.7534865244684,148,3525.0,6856.0,21285,4600.467172315714,4420.0,2110.506152350514,690.0,3.917391304347826,3.0,2.5867506850207804,1.0,18.0,2.0,5.0
