period,total_swe,known_seniority,entry_count,entry_share_pct,associate_share_pct,midsenior_share_pct,director_share_pct,unknown_pct
2024-01,21626,21626.0,121.0,0.56,5.82,93.23,0.4,0.0
2024-04,4438,3553.0,745.0,20.97,5.83,72.73,0.48,19.94
2026-03,4219,3948.0,549.0,13.91,2.84,82.62,0.63,6.42
