period,bin_start,n
2024-01,0.0,692
2024-01,500.0,2942
2024-01,1000.0,2276
2024-01,1500.0,2462
2024-01,2000.0,2168
2024-01,2500.0,2619
2024-01,3000.0,2073
2024-01,3500.0,1513
2024-01,4000.0,1136
2024-01,4500.0,969
2024-01,5000.0,650
2024-01,5500.0,605
2024-01,6000.0,513
2024-01,6500.0,328
2024-01,7000.0,222
2024-01,7500.0,168
2024-01,8000.0,82
2024-01,8500.0,55
2024-01,9000.0,74
2024-01,9500.0,31
2024-01,10000.0,6
2024-01,10500.0,17
2024-01,11000.0,10
2024-01,11500.0,6
2024-01,12000.0,2
2024-01,12500.0,1
2024-01,13000.0,2
2024-01,13500.0,1
2024-01,14000.0,1
2024-01,15000.0,1
2024-01,17000.0,1
2024-04,0.0,208
2024-04,500.0,359
2024-04,1000.0,589
2024-04,1500.0,452
2024-04,2000.0,425
2024-04,2500.0,436
2024-04,3000.0,431
2024-04,3500.0,393
2024-04,4000.0,289
2024-04,4500.0,262
2024-04,5000.0,212
2024-04,5500.0,120
2024-04,6000.0,98
2024-04,6500.0,60
2024-04,7000.0,40
2024-04,7500.0,22
2024-04,8000.0,13
2024-04,8500.0,9
2024-04,9000.0,11
2024-04,9500.0,3
2024-04,10000.0,1
2024-04,10500.0,1
2024-04,11500.0,2
2024-04,14500.0,1
2024-04,15500.0,1
2026-03,0.0,24
2026-03,500.0,91
2026-03,1000.0,129
2026-03,1500.0,199
2026-03,2000.0,254
2026-03,2500.0,313
2026-03,3000.0,345
2026-03,3500.0,396
2026-03,4000.0,421
2026-03,4500.0,413
2026-03,5000.0,318
2026-03,5500.0,267
2026-03,6000.0,222
2026-03,6500.0,183
2026-03,7000.0,217
2026-03,7500.0,168
2026-03,8000.0,75
2026-03,8500.0,110
2026-03,9000.0,27
2026-03,9500.0,18
2026-03,10000.0,11
2026-03,10500.0,5
2026-03,11000.0,4
2026-03,11500.0,3
2026-03,12000.0,1
2026-03,12500.0,2
2026-03,13500.0,1
2026-03,14500.0,1
