period,seniority_3level_patched,n
2024-01,junior,121
2024-01,mid,1258
2024-01,senior,20247
2024-04,junior,745
2024-04,mid,207
2024-04,senior,2601
2024-04,unknown,885
2026-03,junior,549
2026-03,mid,112
2026-03,senior,3287
2026-03,unknown,271
