period,seniority_patched_source,n
2024-01,native_backfill,7826
2024-01,title_strong,13800
2024-04,native_backfill,1753
2024-04,title_strong,1720
2024-04,unknown,885
2024-04,weak_signal,80
2026-03,native_backfill,1908
2026-03,title_strong,1950
2026-03,unknown,271
2026-03,weak_signal,90
