period,total_swe,known,entry_count,entry_share_pct,unknown_pct
2024-01,21626,15286.0,124.0,0.81,29.32
2024-04,4438,2015.0,89.0,4.42,54.6
2026-03,4219,2336.0,132.0,5.65,44.63
