period,bin_start,n
2024-01,0.0,261
2024-01,500.0,729
2024-01,1000.0,1087
2024-01,1500.0,1354
2024-01,2000.0,1590
2024-01,2500.0,2048
2024-01,3000.0,2102
2024-01,3500.0,1789
2024-01,4000.0,1536
2024-01,4500.0,1552
2024-01,5000.0,1717
2024-01,5500.0,1530
2024-01,6000.0,1511
2024-01,6500.0,993
2024-01,7000.0,623
2024-01,7500.0,480
2024-01,8000.0,274
2024-01,8500.0,153
2024-01,9000.0,99
2024-01,9500.0,86
2024-01,10000.0,40
2024-01,10500.0,29
2024-01,11000.0,14
2024-01,11500.0,4
2024-01,12000.0,7
2024-01,12500.0,3
2024-01,13000.0,3
2024-01,13500.0,2
2024-01,14000.0,2
2024-01,15000.0,4
2024-01,17000.0,1
2024-01,18000.0,1
2024-01,18500.0,2
2024-04,0.0,171
2024-04,500.0,316
2024-04,1000.0,470
2024-04,1500.0,471
2024-04,2000.0,358
2024-04,2500.0,343
2024-04,3000.0,343
2024-04,3500.0,319
2024-04,4000.0,270
2024-04,4500.0,291
2024-04,5000.0,256
2024-04,5500.0,242
2024-04,6000.0,167
2024-04,6500.0,123
2024-04,7000.0,98
2024-04,7500.0,80
2024-04,8000.0,42
2024-04,8500.0,29
2024-04,9000.0,20
2024-04,9500.0,11
2024-04,10000.0,6
2024-04,10500.0,2
2024-04,11000.0,3
2024-04,11500.0,1
2024-04,12000.0,1
2024-04,12500.0,2
2024-04,13500.0,1
2024-04,14500.0,1
2024-04,15500.0,1
2026-03,0.0,15
2026-03,500.0,48
2026-03,1000.0,139
2026-03,1500.0,170
2026-03,2000.0,195
2026-03,2500.0,196
2026-03,3000.0,272
2026-03,3500.0,285
2026-03,4000.0,329
2026-03,4500.0,377
2026-03,5000.0,373
2026-03,5500.0,317
2026-03,6000.0,255
2026-03,6500.0,259
2026-03,7000.0,208
2026-03,7500.0,228
2026-03,8000.0,170
2026-03,8500.0,170
2026-03,9000.0,83
2026-03,9500.0,59
2026-03,10000.0,24
2026-03,10500.0,13
2026-03,11000.0,15
2026-03,11500.0,4
2026-03,12000.0,4
2026-03,12500.0,1
2026-03,13000.0,3
2026-03,13500.0,4
2026-03,14000.0,1
2026-03,15000.0,1
