period,seniority_final,n
2024-01,associate,158
2024-01,director,86
2024-01,entry,124
2024-01,mid-senior,14918
2024-01,unknown,6340
2024-04,associate,65
2024-04,director,10
2024-04,entry,89
2024-04,mid-senior,1851
2024-04,unknown,2423
2026-03,associate,67
2026-03,director,21
2026-03,entry,132
2026-03,mid-senior,2116
2026-03,unknown,1883
