period,seniority_patched,n
2024-01,associate,1258
2024-01,director,86
2024-01,entry,121
2024-01,mid-senior,20161
2024-04,associate,207
2024-04,director,17
2024-04,entry,745
2024-04,mid-senior,2584
2024-04,unknown,885
2026-03,associate,112
2026-03,director,25
2026-03,entry,549
2026-03,mid-senior,3262
2026-03,unknown,271
