period,pair,centroid_sim_emb,centroid_sim_tfidf
2024-01,junior-senior,0.9779,0.9416
2024-01,junior-mid,0.9757,0.9442
2024-01,mid-senior,0.9879,0.9389
2024-04,junior-senior,0.9925,0.9783
2024-04,junior-mid,0.9945,0.9824
2024-04,mid-senior,0.9869,0.9576
2026-03,junior-senior,0.9884,0.9504
2026-03,junior-mid,0.9899,0.9377
2026-03,mid-senior,0.9923,0.9676
